dataset,plotID,series,subplot,protocol,authors,entered_by,date,lat,lon,precision,corner,deviation,altitude,aspect,inclination,heat_index,microrelief,depht1,depht2,depht3,depht4,depht5,depth_mean,deph_SD,cover_total,cover_shrubs,cover_herbs,cover_moss,cover_dead_wood,cover_litter,cover_stones,cover_gravel,cover_soil,height_shrub_max,height_shrub_mean,height_herb1,height_herb2,height_herb3,height_herb4,height_herb5,height_herb_mean,height_herb_SD,height_herb_max,relief,habitat_group_old,burning,grazing,mowing,ploughing,abandonment,encroachment,grazing_intencity,land use details,weight_total,weight_skeleton,skeleton,texture,texture_code,sand,silt,clay,pH,pH_sal,conductivity,CaCO3,C/N,C_percent,N_percent,C,N,Corg,Corg_percent,Corg/Norg,humus,hydrolytic_acidity,N_mg_100g,N_mg_kg,CO2,cover_total_sum,cover_shrubs_sum,cover_herbs_sum,cover_moss_sum,economic_use,c_org_dat,silt_dat,clay_dat,pH_dat,BIO1,BIO2,BIO3,BIO4,BIO5,BIO6,BIO7,BIO8,BIO9,BIO10,BIO11,BIO12,BIO13,BIO14,BIO15,BIO16,BIO17,BIO18,BIO19,built_up_2km,build_up_5km,cover_shrub_total,vegetation,habitat_broad,syntaxon,eunis,eunis_group,zonality,habitat_group,roads,footprint_values
7,NFD21_01SE,NFD21_01,SE,AK,"YuV,OYa",VB,26.06.2021,48.876023000000004,29.06686,3,SE,0,196,342,38,-0.354696252,NA,8.5,6.2,4.8,7.5,10.5,7.5,1.6,100,0,100,3,0,10,0,0,100,0,NA,35,49,11,25,17,27.4,15.05988048,99,middle slope,meso-xeric,0,0,0,0,1,0,0,NA,172.1,51.2,29.75014526,loam,NA,46,39,15,6.74,NA,177.3,1.7062,NA,3.327,NA,2.7725,NA,2.304,2.7648,NA,NA,NA,NA,NA,NA,94.82,0,79.82,15,1,23,44,24,66,87,75,240,8703,252,-60,312,200,5,200,-28,546,80,29,36,236,92,192,102,7.845268542,3.231469175,5,NA,fringe,Trifolio-Geranietea,R51,R5,azonal,fringe,527,27
7,NFD21_17NW,NFD21_17,NW,??,??h,VB,03.07.2021,47.74097,25.00524,1,NW,0,1141,230,10,0.175656003,4,46,50,54.5,45,81,55.3,10.28,100,0,100,5,0,10,0,0,100,0,NA,28,18,36,17,28,25.4,7.924645102,118,middle slope,wet,0,0,1,0,0,0,0,NA,55.3,24.6,44.48462929,silty  clay loam,NA,8,66.6,25.4,6.5,NA,299,1.8156,NA,5.157,NA,4.2975,NA,4.068,4.8816,NA,NA,NA,NA,NA,NA,107.23,0,107.23,0,1,55,42,18,56,43,75,255,7892,193,-103,296,144,-63,146,-65,757,115,34,45,337,104,283,109,0.021113244,0.010325087,0,NA,fringe,Calthion,R55,R5,azonal,fringe,178,15
7,NFD21_17SE,NFD21_17,SE,??h,"??, VB",VB,03.07.2021,47.74086,25.00528,1,SE,0,1142,227,8,0.140455221,2,49,48,44,49,52,48.4,1.92,100,0,100,15,0,15,0,0,100,0,NA,44,36,34,54,33,40.2,8.843076388,135,middle slope,wet,0,0,1,0,0,0,0,NA,64.1,16.7,26.05304212,loam,NA,46.5,28.6,24.9,6.55,NA,294.2,2.0944,NA,4.772,NA,3.976666667,NA,2.916,3.4992,NA,NA,NA,NA,NA,NA,159.91,0,149.91,10,1,55,42,18,56,43,75,255,7892,193,-103,296,144,-63,146,-65,757,115,34,45,337,104,283,109,0.021086262,0.010313489,0,NA,fringe,Calthion,R55,R5,azonal,fringe,178,15
7,NFD21_18NW,NFD21_18,NW,??,??,VB,03.07.2021,47.739527,25.004998,0.2,NW,0,1114,150,5,0.022643732,5,47,43,42,48,44,44.8,2.16,99,0,99,10,0,95,0,0,100,0,NA,30,17,30,38,36,30.2,8.197560613,NA,upper slope,wet,0,0,1,0,0,0,0,NA,130,41.2,31.69230769,silty loam,NA,20,60.9,19.1,6.68,NA,197.7,1.9247,NA,4.478,NA,3.731666667,NA,3.324,3.9888,NA,NA,NA,NA,NA,NA,117.62,0,116.82,0.8,1,55,41,19,57,43,75,255,7892,193,-103,296,144,-63,146,-65,757,115,34,45,337,104,283,109,0.020369192,0.010340944,0,NA,fringe,Calthion,R55,R5,azonal,fringe,178,15
7,NFD21_18SE,NFD21_18,SE,"YuV, ??",OYa,VB,03.07.2021,47.739385,25.005071,3,SE,0,1155,183,15,0.199125056,8,42,49,42,51,49,46.6,3.68,100,0,100,0,0,50,0,0,100,0,NA,22,25,25,19,20,22.2,2.774887385,99,upper slope,wet,0,0,1,0,0,0,0,NA,NA,41.2,31.69230769,silty loam,NA,20,60.9,19.1,6.68,NA,197.7,1.9247,NA,4.478,NA,3.731666667,NA,3.324,3.9888,NA,NA,NA,NA,NA,NA,53.81,0,53.41,0.4,1,55,41,19,57,43,75,255,7892,193,-103,296,144,-63,146,-65,757,115,34,45,337,104,283,109,0.020369192,0.010339885,0,NA,fringe,Calthion,R55,R5,azonal,fringe,178,15
7,NFD21_13NW,NFD21_13,NW,??h,"??, VB",VB,02.07.2021,47.80614,24.88829,1,NW,0,1562,80,7,-0.100579224,4,27,30.5,18,25,26,25.3,3.04,100,0,100,5,0,90,0,0,100,0,NA,9,35.5,15.5,10.5,18,17.7,10.59834893,85,upper slope,wet,0,0,0,0,1,1,0,NA,80.2,30.5,38.02992519,silt,NA,0,99.1,0.9,6.07,NA,823,3.208,NA,7,NA,5.833333333,NA,5.076,6.0912,NA,NA,NA,NA,NA,NA,112.12,0,107.12,5,1,79,39,14,50,19,75,258,7742,167,-124,292,118,-85,120,-87,1219,182,58,42,528,180,455,186,0,0,0,NA,fringe,Mulgedio-Aconitetea,R56,R5,azonal,fringe,0,12
7,NFD21_13SE,NFD21_13,SE,??,??h,VB,02.07.2021,47.806,24.88834,3,SE,0,1565,125,10,-0.030618859,6.5,30,26,31,21,23,26.2,3.44,100,0,100,0,0,15,0,0,100,0,NA,17,8.5,25,19,9,15.7,6.99642766,71,upper slope,wet,0,0,0,0,1,1,0,NA,89.6,33.2,37.05357143,silt,NA,0.3,90.2,9.5,6.1,NA,527,3.1876,NA,6.412,NA,5.343333333,NA,4.5,5.4,NA,NA,NA,NA,NA,NA,87.61,0,87.61,0,1,79,39,14,50,19,75,258,7742,167,-124,292,118,-85,120,-87,1219,182,58,42,528,180,455,186,0,0,0,NA,fringe,Mulgedio-Aconitetea,R56,R5,azonal,fringe,0,12
7,NFD21_14NW,NFD21_14,NW,??,"??, ??",VB,02.07.2021,47.806082,24.888016,1.4,NW,0,1564,200,7,0.111280604,8,21,15,20,25,30,22.2,4.24,99,0,98,3,0,70,0,0,100,0,NA,18,19,29,13,28,21.4,6.877499546,90,upper slope,wet,0,0,0,0,1,1,0,NA,76.9,8,10.40312094,silt,NA,0.5,91.3,8.2,6.41,NA,673,2.6088,NA,9.305,NA,7.754166667,NA,7.74,9.288,NA,NA,NA,NA,NA,NA,104.81,0,98.01,6.8,1,79,39,14,50,19,75,258,7742,167,-124,292,118,-85,120,-87,1219,182,58,42,528,180,455,186,0,0,0.5,NA,fringe,Mulgedio-Aconitetea,R56,R5,azonal,fringe,0,12
7,NFD21_14SE,NFD21_14,SE,"YuV, ??",OYa,VB,02.07.2021,47.80592,24.88815,3,SE,0,1562,170,12,0.121917435,10,19,18,17,17,17,17.6,0.72,95,0,95,0,0,50,0,0,100,0,NA,11,17,12,19,14,14.6,3.361547263,49,upper slope,wet,0,0,0,0,1,1,0,NA,NA,8,10.40312094,silt,NA,0.5,91.3,8.2,6.41,NA,673,2.6088,NA,9.305,NA,7.754166667,NA,7.74,9.288,NA,NA,NA,NA,NA,NA,47.01,0,47.01,0,1,79,39,14,50,19,75,258,7742,167,-124,292,118,-85,120,-87,1219,182,58,42,528,180,455,186,0,0,5,NA,fringe,Mulgedio-Aconitetea,R56,R5,azonal,fringe,0,12
8,NFD21_23NE,NFD21_23,NE,"Kucher, Kuzemko, Kish",NA,"OCh, OK",02.08.2021,48.155687,24.534995,0.9,NE,0,1481.1,273,20,0.243543624,16,36,36,44,34,56,41.2,9.121403401,95,0,85,40,0,80,0,0,100,0,0,28,31,33,41,20,30.6,7.635443668,117,middle slope,wet,0,0,0,0,0,NA,0,Recreation,110.4,29.1,26.35869565,silty loam,NA,3,82.9,14.1,4.07,NA,262.3,1.8747,NA,6.128,NA,5.106666667,NA,5.004,6.0048,NA,NA,NA,NA,NA,NA,80.126,2,78.126,0,1,89,36,12,47,24,76,259,7744,173,-119,292,123,-80,125,-81,1108,156,55,37,448,173,404,183,0.217113665,0.069113588,4.005,NA,fringe,NA,R56,R5,azonal,fringe,0,5
8,NFD21_23NW,NFD21_23,NW,"Chusova, Vasheniak, Tokaruk",NA,"OCh, OK",02.08.2021,48.15578,24.53477,"0,3",NW,0,1419.2,307,17,0.042549487,14,25,57,45,35,37,39.8,11.96662024,100,0,90,20,0,80,0,0,100,0,0,29,27,25,23,13,23.4,6.228964601,122,middle slope,wet,0,0,0,0,0,NA,0,Recreation,139.6,56.3,40.32951289,silty loam,NA,10,77.3,12.7,3.99,NA,274,1.22,NA,3.876,NA,3.23,NA,3.144,3.7728,NA,NA,NA,NA,NA,NA,81.106,0,71.106,10,1,89,36,12,47,24,76,259,7744,173,-119,292,123,-80,125,-81,1108,156,55,37,448,173,404,183,0.216698534,0.069233921,3.101,NA,fringe,NA,R56,R5,azonal,fringe,0,5
