species,series,subplot,scale,response,value,naturalisation_level,introduction_time,category
Achillea millefolium,UA01,NW,10,cover,3,NA,NA,native
Achillea millefolium,UA01,SE,0.001,p/a,1,NA,NA,native
Achillea millefolium,UA01,SE,0.01,p/a,1,NA,NA,native
Achillea millefolium,UA01,SE,0.1,p/a,1,NA,NA,native
Achillea millefolium,UA01,SE,1,p/a,1,NA,NA,native
Achillea millefolium,UA01,SE,10,cover,1,NA,NA,native
Achillea millefolium,UA01,x,100,cover,2,NA,NA,native
Achillea millefolium,UA02,NW,10,cover,0.5,NA,NA,native
Achillea millefolium,UA02,x,100,cover,0.25,NA,NA,native
Achillea millefolium,UA03,NW,10,cover,0.5,NA,NA,native
Achillea millefolium,UA03,SE,0.01,p/a,1,NA,NA,native
Achillea millefolium,UA03,SE,0.1,p/a,1,NA,NA,native
Achillea millefolium,UA03,SE,1,p/a,1,NA,NA,native
Achillea millefolium,UA03,SE,10,cover,3,NA,NA,native
Achillea millefolium,UA03,x,100,cover,1.75,NA,NA,native
Achillea millefolium,UA04,x,100,cover,0.1,NA,NA,native
Achillea millefolium,UA06,NW,10,cover,0.5,NA,NA,native
Achillea millefolium,UA06,SE,10,cover,1,NA,NA,native
Achillea millefolium,UA06,x,100,cover,0.75,NA,NA,native
Achillea millefolium,UA08,NW,1,p/a,1,NA,NA,native
Achillea millefolium,UA08,NW,10,cover,0.5,NA,NA,native
Achillea millefolium,UA08,x,100,cover,0.25,NA,NA,native
Achillea millefolium,UA13,SE,1,p/a,1,NA,NA,native
Achillea millefolium,UA13,SE,10,cover,0.5,NA,NA,native
Achillea millefolium,UA13,x,100,cover,0.25,NA,NA,native
Achillea millefolium,UA14,NW,1e-4,p/a,1,NA,NA,native
Achillea millefolium,UA14,NW,0.001,p/a,1,NA,NA,native
Achillea millefolium,UA14,NW,0.01,p/a,1,NA,NA,native
Achillea millefolium,UA14,NW,0.1,p/a,1,NA,NA,native
Achillea millefolium,UA14,NW,1,p/a,1,NA,NA,native
Achillea millefolium,UA14,NW,10,cover,8,NA,NA,native
Achillea millefolium,UA14,SE,0.01,p/a,1,NA,NA,native
Achillea millefolium,UA14,SE,0.1,p/a,1,NA,NA,native
Achillea millefolium,UA14,SE,1,p/a,1,NA,NA,native
Achillea millefolium,UA14,SE,10,cover,4,NA,NA,native
Achillea millefolium,UA14,x,100,cover,6,NA,NA,native
Achillea millefolium,UA15,NW,0.1,p/a,1,NA,NA,native
Achillea millefolium,UA15,NW,1,p/a,1,NA,NA,native
Achillea millefolium,UA15,NW,10,cover,5,NA,NA,native
Achillea millefolium,UA15,x,100,cover,2.5,NA,NA,native
Achillea millefolium,UA16,NW,0.1,p/a,1,NA,NA,native
Achillea millefolium,UA16,NW,1,p/a,1,NA,NA,native
Achillea millefolium,UA16,NW,10,cover,4,NA,NA,native
Achillea millefolium,UA16,x,100,cover,2,NA,NA,native
Achillea millefolium,UA17,NW,10,cover,0.2,NA,NA,native
Achillea millefolium,UA17,x,100,cover,0.1,NA,NA,native
Achillea millefolium,UA20,NW,0.01,p/a,1,NA,NA,native
Achillea millefolium,UA20,NW,0.1,p/a,1,NA,NA,native
Achillea millefolium,UA20,NW,1,p/a,1,NA,NA,native
Achillea millefolium,UA20,NW,10,cover,0.2,NA,NA,native
Achillea millefolium,UA20,SE,1,p/a,1,NA,NA,native
Achillea millefolium,UA20,SE,10,cover,0.7,NA,NA,native
Achillea millefolium,UA20,x,100,cover,0.45,NA,NA,native
Achillea millefolium,UA21,NW,0.1,p/a,1,NA,NA,native
Achillea millefolium,UA21,NW,1,p/a,1,NA,NA,native
Achillea millefolium,UA21,NW,10,cover,5,NA,NA,native
Achillea millefolium,UA21,SE,1,p/a,1,NA,NA,native
Achillea millefolium,UA21,SE,10,cover,1.5,NA,NA,native
Achillea millefolium,UA21,x,100,cover,3.25,NA,NA,native
Achillea nobilis,UA16,SE,10,cover,0.5,NA,NA,native
Achillea nobilis,UA16,x,100,cover,0.25,NA,NA,native
Achillea seidlii,UA03,SE,10,cover,1.5,NA,NA,native
Achillea seidlii,UA03,x,100,cover,0.75,NA,NA,native
Achillea seidlii,UA07,NW,10,cover,0.1,NA,NA,native
Achillea seidlii,UA07,SE,0.1,p/a,1,NA,NA,native
Achillea seidlii,UA07,SE,1,p/a,1,NA,NA,native
Achillea seidlii,UA07,SE,10,cover,0.3,NA,NA,native
Achillea seidlii,UA07,x,100,cover,0.2,NA,NA,native
Achillea seidlii,UA10,NW,1,p/a,1,NA,NA,native
Achillea seidlii,UA10,NW,10,cover,1.5,NA,NA,native
Achillea seidlii,UA10,SE,0.1,p/a,1,NA,NA,native
Achillea seidlii,UA10,SE,1,p/a,1,NA,NA,native
Achillea seidlii,UA10,SE,10,cover,0.2,NA,NA,native
Achillea seidlii,UA10,x,100,cover,0.85,NA,NA,native
Achillea seidlii,UA11,NW,1,p/a,1,NA,NA,native
Achillea seidlii,UA11,NW,10,cover,1,NA,NA,native
Achillea seidlii,UA11,SE,1,p/a,1,NA,NA,native
Achillea seidlii,UA11,SE,10,cover,1,NA,NA,native
Achillea seidlii,UA11,x,100,cover,1,NA,NA,native
Achillea seidlii,UA12,NW,10,cover,0.1,NA,NA,native
Achillea seidlii,UA12,x,100,cover,0.05,NA,NA,native
Achillea seidlii,UA13,NW,1,p/a,1,NA,NA,native
Achillea seidlii,UA13,NW,10,cover,0.1,NA,NA,native
Achillea seidlii,UA13,SE,10,cover,0.2,NA,NA,native
Achillea seidlii,UA13,x,100,cover,0.15,NA,NA,native
Achillea seidlii,UA15,SE,1,p/a,1,NA,NA,native
Achillea seidlii,UA15,SE,10,cover,1,NA,NA,native
Achillea seidlii,UA15,x,100,cover,0.5,NA,NA,native
Achillea setacea,UA03,NW,10,cover,0.1,NA,NA,native
Achillea setacea,UA03,x,100,cover,0.05,NA,NA,native
Achillea setacea,UA07,NW,1,p/a,1,NA,NA,native
Achillea setacea,UA07,NW,10,cover,0.3,NA,NA,native
Achillea setacea,UA07,x,100,cover,0.15,NA,NA,native
Achillea setacea,UA08,SE,1,p/a,1,NA,NA,native
Achillea setacea,UA08,SE,10,cover,0.5,NA,NA,native
Achillea setacea,UA08,x,100,cover,0.25,NA,NA,native
Achillea setacea,UA09,x,100,cover,0.1,NA,NA,native
Achillea setacea,UA13,NW,1,p/a,1,NA,NA,native
Achillea setacea,UA13,NW,10,cover,0.01,NA,NA,native
Achillea setacea,UA13,SE,10,cover,1,NA,NA,native
Achillea setacea,UA13,x,100,cover,0.505,NA,NA,native
Achillea setacea,UA16,SE,1e-4,p/a,1,NA,NA,native
Achillea setacea,UA16,SE,0.001,p/a,1,NA,NA,native
Achillea setacea,UA16,SE,0.01,p/a,1,NA,NA,native
Achillea setacea,UA16,SE,0.1,p/a,1,NA,NA,native
Achillea setacea,UA16,SE,1,p/a,1,NA,NA,native
Achillea setacea,UA16,SE,10,cover,2,NA,NA,native
Achillea setacea,UA16,x,100,cover,1,NA,NA,native
Achillea setacea,UA17,NW,10,cover,0.3,NA,NA,native
Achillea setacea,UA17,SE,0.1,p/a,1,NA,NA,native
Achillea setacea,UA17,SE,1,p/a,1,NA,NA,native
Achillea setacea,UA17,SE,10,cover,1,NA,NA,native
Achillea setacea,UA17,x,100,cover,0.65,NA,NA,native
Achillea setacea,UA18,NW,1,p/a,1,NA,NA,native
Achillea setacea,UA18,NW,10,cover,0.5,NA,NA,native
Achillea setacea,UA18,SE,10,cover,0.1,NA,NA,native
Achillea setacea,UA18,x,100,cover,0.3,NA,NA,native
Adonis vernalis,UA06,x,100,cover,0.1,NA,NA,native
Adonis vernalis,UA07,NW,0.1,p/a,1,NA,NA,native
Adonis vernalis,UA07,NW,1,p/a,1,NA,NA,native
Adonis vernalis,UA07,NW,10,cover,1.5,NA,NA,native
Adonis vernalis,UA07,SE,0.1,p/a,1,NA,NA,native
Adonis vernalis,UA07,SE,1,p/a,1,NA,NA,native
Adonis vernalis,UA07,SE,10,cover,3,NA,NA,native
Adonis vernalis,UA07,x,100,cover,2.25,NA,NA,native
Adonis vernalis,UA08,SE,10,cover,0.2,NA,NA,native
Adonis vernalis,UA08,x,100,cover,0.1,NA,NA,native
Adonis vernalis,UA15,NW,1e-4,p/a,1,NA,NA,native
Adonis vernalis,UA15,NW,0.001,p/a,1,NA,NA,native
Adonis vernalis,UA15,NW,0.01,p/a,1,NA,NA,native
Adonis vernalis,UA15,NW,0.1,p/a,1,NA,NA,native
Adonis vernalis,UA15,NW,1,p/a,1,NA,NA,native
Adonis vernalis,UA15,NW,10,cover,6,NA,NA,native
Adonis vernalis,UA15,SE,1,p/a,1,NA,NA,native
Adonis vernalis,UA15,SE,10,cover,4,NA,NA,native
Adonis vernalis,UA15,x,100,cover,5,NA,NA,native
Adonis vernalis,UA17,NW,1,p/a,1,NA,NA,native
Adonis vernalis,UA17,NW,10,cover,0.5,NA,NA,native
Adonis vernalis,UA17,SE,0.1,p/a,1,NA,NA,native
Adonis vernalis,UA17,SE,1,p/a,1,NA,NA,native
Adonis vernalis,UA17,SE,10,cover,10,NA,NA,native
Adonis vernalis,UA17,x,100,cover,5.25,NA,NA,native
Adonis vernalis,UA18,SE,10,cover,0.1,NA,NA,native
Adonis vernalis,UA18,x,100,cover,0.05,NA,NA,native
Agrimonia eupatoria,UA01,NW,0.001,p/a,1,NA,NA,native
Agrimonia eupatoria,UA01,NW,0.01,p/a,1,NA,NA,native
Agrimonia eupatoria,UA01,NW,0.1,p/a,1,NA,NA,native
Agrimonia eupatoria,UA01,NW,1,p/a,1,NA,NA,native
Agrimonia eupatoria,UA01,NW,10,cover,40,NA,NA,native
Agrimonia eupatoria,UA01,SE,0.1,p/a,1,NA,NA,native
Agrimonia eupatoria,UA01,SE,1,p/a,1,NA,NA,native
Agrimonia eupatoria,UA01,SE,10,cover,12,NA,NA,native
Agrimonia eupatoria,UA01,x,100,cover,26,NA,NA,native
Agrimonia eupatoria,UA05,SE,1,p/a,1,NA,NA,native
Agrimonia eupatoria,UA05,SE,10,cover,3,NA,NA,native
Agrimonia eupatoria,UA05,x,100,cover,1.5,NA,NA,native
Agrimonia eupatoria,UA06,NW,10,cover,5,NA,NA,native
Agrimonia eupatoria,UA06,SE,1,p/a,1,NA,NA,native
Agrimonia eupatoria,UA06,SE,10,cover,1,NA,NA,native
Agrimonia eupatoria,UA06,x,100,cover,3,NA,NA,native
Agrimonia eupatoria,UA07,NW,10,cover,0.1,NA,NA,native
Agrimonia eupatoria,UA07,SE,10,cover,0.1,NA,NA,native
Agrimonia eupatoria,UA07,x,100,cover,0.1,NA,NA,native
Agrimonia eupatoria,UA08,SE,0.01,p/a,1,NA,NA,native
Agrimonia eupatoria,UA08,SE,0.1,p/a,1,NA,NA,native
Agrimonia eupatoria,UA08,SE,1,p/a,1,NA,NA,native
Agrimonia eupatoria,UA08,SE,10,cover,0.5,NA,NA,native
Agrimonia eupatoria,UA08,x,100,cover,0.25,NA,NA,native
Agrimonia eupatoria,UA09,NW,10,cover,0.2,NA,NA,native
Agrimonia eupatoria,UA09,x,100,cover,0.1,NA,NA,native
Agrimonia eupatoria,UA10,NW,10,cover,0.1,NA,NA,native
Agrimonia eupatoria,UA10,x,100,cover,0.05,NA,NA,native
Agrimonia eupatoria,UA11,NW,10,cover,3,NA,NA,native
Agrimonia eupatoria,UA11,SE,10,cover,3,NA,NA,native
Agrimonia eupatoria,UA11,x,100,cover,3,NA,NA,native
Agrimonia eupatoria,UA12,NW,10,cover,0.2,NA,NA,native
Agrimonia eupatoria,UA12,x,100,cover,0.1,NA,NA,native
Agrimonia eupatoria,UA13,SE,10,cover,0.5,NA,NA,native
Agrimonia eupatoria,UA13,x,100,cover,0.25,NA,NA,native
Agrimonia eupatoria,UA14,x,100,cover,0.1,NA,NA,native
Agrimonia eupatoria,UA15,NW,0.1,p/a,1,NA,NA,native
Agrimonia eupatoria,UA15,NW,1,p/a,1,NA,NA,native
Agrimonia eupatoria,UA15,NW,10,cover,2,NA,NA,native
Agrimonia eupatoria,UA15,x,100,cover,1,NA,NA,native
Agrimonia eupatoria,UA16,NW,1,p/a,1,NA,NA,native
Agrimonia eupatoria,UA16,NW,10,cover,0.5,NA,NA,native
Agrimonia eupatoria,UA16,x,100,cover,0.25,NA,NA,native
Agrimonia eupatoria,UA17,SE,1,p/a,1,NA,NA,native
Agrimonia eupatoria,UA17,SE,10,cover,0.2,NA,NA,native
Agrimonia eupatoria,UA17,x,100,cover,0.1,NA,NA,native
Agrimonia eupatoria,UA18,x,100,cover,0.1,NA,NA,native
Agrimonia eupatoria,UA20,x,100,cover,0.1,NA,NA,native
Agrimonia eupatoria,UA21,NW,10,cover,1,NA,NA,native
Agrimonia eupatoria,UA21,x,100,cover,0.5,NA,NA,native
Agrimonia procera,UA10,SE,10,cover,0.5,NA,NA,native
Agrimonia procera,UA10,x,100,cover,0.25,NA,NA,native
Agrimonia procera,UA12,x,100,cover,0.1,NA,NA,native
Agrimonia procera,UA16,SE,1,p/a,1,NA,NA,native
Agrimonia procera,UA16,SE,10,cover,0.2,NA,NA,native
Agrimonia procera,UA16,x,100,cover,0.1,NA,NA,native
Agropyron cristatum,UA18,SE,10,cover,0.2,NA,NA,native
Agropyron cristatum,UA18,x,100,cover,0.1,NA,NA,native
Agrostis capillaris,UA01,NW,0.1,p/a,1,NA,NA,native
Agrostis capillaris,UA01,NW,1,p/a,1,NA,NA,native
Agrostis capillaris,UA01,NW,10,cover,2,NA,NA,native
Agrostis capillaris,UA01,SE,10,cover,3,NA,NA,native
Agrostis capillaris,UA01,x,100,cover,2.5,NA,NA,native
Agrostis capillaris,UA03,SE,10,cover,0.1,NA,NA,native
Agrostis capillaris,UA03,x,100,cover,0.05,NA,NA,native
Ailanthus altissima,UA09,SE,0.1,p/a,1,invasive,neophyte,non_native
Ailanthus altissima,UA09,SE,1,p/a,1,invasive,neophyte,non_native
Ailanthus altissima,UA09,SE,10,cover,0.1,invasive,neophyte,non_native
Ailanthus altissima,UA09,x,100,cover,0.05,invasive,neophyte,non_native
Ailanthus altissima,UA14,SE,10,cover,0.01,invasive,neophyte,non_native
Ailanthus altissima,UA14,x,100,cover,0.005,invasive,neophyte,non_native
Ajuga chamaepitys,UA07,x,100,cover,0.1,NA,NA,native
Ajuga chamaepitys,UA08,NW,1,p/a,1,NA,NA,native
Ajuga chamaepitys,UA08,NW,10,cover,0.2,NA,NA,native
Ajuga chamaepitys,UA08,x,100,cover,0.1,NA,NA,native
Ajuga chamaepitys,UA12,SE,1,p/a,1,NA,NA,native
Ajuga chamaepitys,UA12,SE,10,cover,0.1,NA,NA,native
Ajuga chamaepitys,UA12,x,100,cover,0.05,NA,NA,native
Ajuga chamaepitys,UA13,SE,10,cover,0.2,NA,NA,native
Ajuga chamaepitys,UA13,x,100,cover,0.1,NA,NA,native
Ajuga genevensis,UA04,NW,10,cover,0.1,NA,NA,native
Ajuga genevensis,UA04,SE,1,p/a,1,NA,NA,native
Ajuga genevensis,UA04,SE,10,cover,1,NA,NA,native
Ajuga genevensis,UA04,x,100,cover,0.55,NA,NA,native
Ajuga genevensis,UA06,NW,0.1,p/a,1,NA,NA,native
Ajuga genevensis,UA06,NW,1,p/a,1,NA,NA,native
Ajuga genevensis,UA06,NW,10,cover,1,NA,NA,native
Ajuga genevensis,UA06,x,100,cover,0.5,NA,NA,native
Ajuga genevensis,UA11,SE,10,cover,0.5,NA,NA,native
Ajuga genevensis,UA11,x,100,cover,0.25,NA,NA,native
Ajuga genevensis,UA14,NW,10,cover,0.1,NA,NA,native
Ajuga genevensis,UA14,x,100,cover,0.05,NA,NA,native
Ajuga laxmannii,UA15,NW,1,p/a,1,NA,NA,native
Ajuga laxmannii,UA15,NW,10,cover,1,NA,NA,native
Ajuga laxmannii,UA15,SE,10,cover,0.5,NA,NA,native
Ajuga laxmannii,UA15,x,100,cover,0.75,NA,NA,native
Allium denudatum,UA07,NW,0.1,p/a,1,NA,NA,native
Allium denudatum,UA07,NW,1,p/a,1,NA,NA,native
Allium denudatum,UA07,NW,10,cover,1,NA,NA,native
Allium denudatum,UA07,x,100,cover,0.5,NA,NA,native
Allium denudatum,UA11,SE,10,cover,0.5,NA,NA,native
Allium denudatum,UA11,x,100,cover,0.25,NA,NA,native
Allium denudatum,UA17,NW,1,p/a,1,NA,NA,native
Allium denudatum,UA17,NW,10,cover,0.2,NA,NA,native
Allium denudatum,UA17,x,100,cover,0.1,NA,NA,native
Allium flavum,UA03,NW,1,p/a,1,NA,NA,native
Allium flavum,UA03,NW,10,cover,0.1,NA,NA,native
Allium flavum,UA03,x,100,cover,0.05,NA,NA,native
Allium flavum,UA07,NW,1,p/a,1,NA,NA,native
Allium flavum,UA07,NW,10,cover,0.01,NA,NA,native
Allium flavum,UA07,SE,1,p/a,1,NA,NA,native
Allium flavum,UA07,SE,10,cover,0.3,NA,NA,native
Allium flavum,UA07,x,100,cover,0.155,NA,NA,native
Allium flavum,UA08,x,100,cover,0.1,NA,NA,native
Allium flavum,UA09,NW,1,p/a,1,NA,NA,native
Allium flavum,UA09,NW,10,cover,0.2,NA,NA,native
Allium flavum,UA09,SE,0.01,p/a,1,NA,NA,native
Allium flavum,UA09,SE,0.1,p/a,1,NA,NA,native
Allium flavum,UA09,SE,1,p/a,1,NA,NA,native
Allium flavum,UA09,SE,10,cover,0.2,NA,NA,native
Allium flavum,UA09,x,100,cover,0.2,NA,NA,native
Allium flavum,UA10,NW,1,p/a,1,NA,NA,native
Allium flavum,UA10,NW,10,cover,0.5,NA,NA,native
Allium flavum,UA10,SE,1,p/a,1,NA,NA,native
Allium flavum,UA10,SE,10,cover,0.2,NA,NA,native
Allium flavum,UA10,x,100,cover,0.35,NA,NA,native
Allium flavum,UA11,NW,1,p/a,1,NA,NA,native
Allium flavum,UA11,NW,10,cover,0.5,NA,NA,native
Allium flavum,UA11,SE,1,p/a,1,NA,NA,native
Allium flavum,UA11,SE,10,cover,2,NA,NA,native
Allium flavum,UA11,x,100,cover,1.25,NA,NA,native
Allium flavum,UA12,SE,10,cover,0.1,NA,NA,native
Allium flavum,UA12,x,100,cover,0.05,NA,NA,native
Allium flavum,UA13,NW,10,cover,0.01,NA,NA,native
Allium flavum,UA13,SE,10,cover,0.2,NA,NA,native
Allium flavum,UA13,x,100,cover,0.105,NA,NA,native
Allium flavum,UA15,SE,0.1,p/a,1,NA,NA,native
Allium flavum,UA15,SE,1,p/a,1,NA,NA,native
Allium flavum,UA15,SE,10,cover,0.2,NA,NA,native
Allium flavum,UA15,x,100,cover,0.1,NA,NA,native
Allium flavum,UA17,NW,1,p/a,1,NA,NA,native
Allium flavum,UA17,NW,10,cover,0.2,NA,NA,native
Allium flavum,UA17,SE,1,p/a,1,NA,NA,native
Allium flavum,UA17,SE,10,cover,0.1,NA,NA,native
Allium flavum,UA17,x,100,cover,0.15,NA,NA,native
Allium flavum,UA18,NW,10,cover,0.1,NA,NA,native
Allium flavum,UA18,x,100,cover,0.05,NA,NA,native
Allium lusitanicum,UA02,SE,0.01,p/a,1,NA,NA,native
Allium lusitanicum,UA02,SE,0.1,p/a,1,NA,NA,native
Allium lusitanicum,UA02,SE,1,p/a,1,NA,NA,native
Allium lusitanicum,UA02,SE,10,cover,3,NA,NA,native
Allium lusitanicum,UA02,x,100,cover,1.5,NA,NA,native
Allium lusitanicum,UA04,SE,10,cover,3,NA,NA,native
Allium lusitanicum,UA04,x,100,cover,1.5,NA,NA,native
Allium oleraceum,UA02,SE,1,p/a,1,NA,NA,native
Allium oleraceum,UA02,SE,10,cover,2,NA,NA,native
Allium oleraceum,UA02,x,100,cover,1,NA,NA,native
Allium oleraceum,UA21,NW,1,p/a,1,NA,NA,native
Allium oleraceum,UA21,NW,10,cover,0.2,NA,NA,native
Allium oleraceum,UA21,x,100,cover,0.1,NA,NA,native
Allium podolicum,UA03,SE,0.1,p/a,1,NA,NA,native
Allium podolicum,UA03,SE,1,p/a,1,NA,NA,native
Allium podolicum,UA03,SE,10,cover,0.1,NA,NA,native
Allium podolicum,UA03,x,100,cover,0.05,NA,NA,native
Allium podolicum,UA04,SE,10,cover,0.2,NA,NA,native
Allium podolicum,UA04,x,100,cover,0.1,NA,NA,native
Allium rotundum,UA21,x,100,cover,0.1,NA,NA,native
Allium sphaerocephalon,UA08,x,100,cover,0.1,NA,NA,native
Allium sphaerocephalon,UA15,NW,10,cover,1,NA,NA,native
Allium sphaerocephalon,UA15,SE,10,cover,0.2,NA,NA,native
Allium sphaerocephalon,UA15,x,100,cover,0.6,NA,NA,native
Alyssum alyssoides,UA12,SE,0.1,p/a,1,NA,NA,native
Alyssum alyssoides,UA12,SE,1,p/a,1,NA,NA,native
Alyssum alyssoides,UA12,SE,10,cover,0.3,NA,NA,native
Alyssum alyssoides,UA12,x,100,cover,0.15,NA,NA,native
Alyssum alyssoides,UA20,SE,10,cover,0.1,NA,NA,native
Alyssum alyssoides,UA20,x,100,cover,0.05,NA,NA,native
Alyssum rostratum,UA08,NW,1,p/a,1,NA,NA,native
Alyssum rostratum,UA08,NW,10,cover,1,NA,NA,native
Alyssum rostratum,UA08,x,100,cover,0.5,NA,NA,native
Alyssum rostratum,UA09,NW,0.1,p/a,1,NA,NA,native
Alyssum rostratum,UA09,NW,1,p/a,1,NA,NA,native
Alyssum rostratum,UA09,NW,10,cover,1.5,NA,NA,native
Alyssum rostratum,UA09,SE,0.001,p/a,1,NA,NA,native
Alyssum rostratum,UA09,SE,0.01,p/a,1,NA,NA,native
Alyssum rostratum,UA09,SE,0.1,p/a,1,NA,NA,native
Alyssum rostratum,UA09,SE,1,p/a,1,NA,NA,native
Alyssum rostratum,UA09,SE,10,cover,1,NA,NA,native
Alyssum rostratum,UA09,x,100,cover,1.25,NA,NA,native
Alyssum rostratum,UA17,NW,0.1,p/a,1,NA,NA,native
Alyssum rostratum,UA17,NW,1,p/a,1,NA,NA,native
Alyssum rostratum,UA17,NW,10,cover,0.1,NA,NA,native
Alyssum rostratum,UA17,x,100,cover,0.05,NA,NA,native
Ambrosia artemisiifolia,UA07,NW,10,cover,0.01,invasive,neophyte,non_native
Ambrosia artemisiifolia,UA07,x,100,cover,0.005,invasive,neophyte,non_native
Ambrosia artemisiifolia,UA09,x,100,cover,0.1,invasive,neophyte,non_native
Anagallis arvensis,UA08,NW,10,cover,0.2,naturalised,archaeophyte,non_native
Anagallis arvensis,UA08,x,100,cover,0.1,naturalised,archaeophyte,non_native
Anagallis arvensis,UA18,NW,1,p/a,1,naturalised,archaeophyte,non_native
Anagallis arvensis,UA18,NW,10,cover,0.2,naturalised,archaeophyte,non_native
Anagallis arvensis,UA18,SE,10,cover,0.1,naturalised,archaeophyte,non_native
Anagallis arvensis,UA18,x,100,cover,0.15,naturalised,archaeophyte,non_native
Anchusa officinalis,UA06,SE,1,p/a,1,naturalised,archaeophyte,non_native
Anchusa officinalis,UA06,SE,10,cover,0.5,naturalised,archaeophyte,non_native
Anchusa officinalis,UA06,x,100,cover,0.25,naturalised,archaeophyte,non_native
Androsace elongata,UA02,SE,1,p/a,1,NA,NA,native
Androsace elongata,UA02,SE,10,cover,0.1,NA,NA,native
Androsace elongata,UA02,x,100,cover,0.05,NA,NA,native
Androsace elongata,UA04,SE,10,cover,0.2,NA,NA,native
Androsace elongata,UA04,x,100,cover,0.1,NA,NA,native
Anemone sylvestris,UA21,x,100,cover,0.1,NA,NA,native
Anthericum ramosum,UA02,SE,1,p/a,1,NA,NA,native
Anthericum ramosum,UA02,SE,10,cover,0.2,NA,NA,native
Anthericum ramosum,UA02,x,100,cover,0.1,NA,NA,native
Anthericum ramosum,UA11,x,100,cover,0.1,NA,NA,native
Anthericum ramosum,UA12,NW,10,cover,0.2,NA,NA,native
Anthericum ramosum,UA12,x,100,cover,0.1,NA,NA,native
Anthyllis vulneraria,UA20,NW,10,cover,0.1,NA,NA,native
Anthyllis vulneraria,UA20,x,100,cover,0.05,NA,NA,native
Arabidopsis arenosa,UA07,x,100,cover,0.1,NA,NA,native
Arabidopsis arenosa,UA12,SE,10,cover,0.1,NA,NA,native
Arabidopsis arenosa,UA12,x,100,cover,0.05,NA,NA,native
Eremogone procera,UA04,SE,10,cover,0.1,NA,NA,native
Eremogone procera,UA04,x,100,cover,0.05,NA,NA,native
Arenaria serpyllifolia,UA03,NW,1,p/a,1,NA,NA,native
Arenaria serpyllifolia,UA03,NW,10,cover,0.1,NA,NA,native
Arenaria serpyllifolia,UA03,x,100,cover,0.05,NA,NA,native
Arenaria serpyllifolia,UA04,SE,10,cover,0.5,NA,NA,native
Arenaria serpyllifolia,UA04,x,100,cover,0.25,NA,NA,native
Arenaria serpyllifolia,UA06,NW,0.1,p/a,1,NA,NA,native
Arenaria serpyllifolia,UA06,NW,1,p/a,1,NA,NA,native
Arenaria serpyllifolia,UA06,NW,10,cover,0.5,NA,NA,native
Arenaria serpyllifolia,UA06,SE,0.001,p/a,1,NA,NA,native
Arenaria serpyllifolia,UA06,SE,0.01,p/a,1,NA,NA,native
Arenaria serpyllifolia,UA06,SE,0.1,p/a,1,NA,NA,native
Arenaria serpyllifolia,UA06,SE,1,p/a,1,NA,NA,native
Arenaria serpyllifolia,UA06,SE,10,cover,0.5,NA,NA,native
Arenaria serpyllifolia,UA06,x,100,cover,0.5,NA,NA,native
Arenaria serpyllifolia,UA07,NW,10,cover,0.01,NA,NA,native
Arenaria serpyllifolia,UA07,SE,10,cover,0.1,NA,NA,native
Arenaria serpyllifolia,UA07,x,100,cover,0.055,NA,NA,native
Arenaria serpyllifolia,UA08,NW,10,cover,0.5,NA,NA,native
