dataset,layer,group,species,series,subplot,scale,response,value
1,C,B,Brachythecium glareosum,UA02,NW,0.1,p/a,1
1,C,B,Brachythecium glareosum,UA02,NW,1,p/a,1
1,C,B,Brachythecium glareosum,UA02,NW,10,cover,1
1,C,B,Brachythecium glareosum,UA02,SE,0.1,p/a,1
1,C,B,Brachythecium glareosum,UA02,SE,1,p/a,1
1,C,B,Brachythecium glareosum,UA02,SE,10,cover,0.2
1,C,B,Brachythecium glareosum,UA02,x,100,cover,0.6
1,C,B,Brachythecium glareosum,UA11,NW,1,p/a,1
1,C,B,Brachythecium glareosum,UA11,NW,10,cover,3
1,C,B,Brachythecium glareosum,UA11,x,100,cover,1.5
1,C,B,Brachythecium glareosum,UA16,NW,0.001,p/a,1
1,C,B,Brachythecium glareosum,UA16,NW,0.01,p/a,1
1,C,B,Brachythecium glareosum,UA16,NW,0.1,p/a,1
1,C,B,Brachythecium glareosum,UA16,NW,1,p/a,1
1,C,B,Brachythecium glareosum,UA16,NW,10,cover,1
1,C,B,Brachythecium glareosum,UA16,SE,0.001,p/a,1
1,C,B,Brachythecium glareosum,UA16,SE,0.01,p/a,1
1,C,B,Brachythecium glareosum,UA16,SE,0.1,p/a,1
1,C,B,Brachythecium glareosum,UA16,SE,1,p/a,1
1,C,B,Brachythecium glareosum,UA16,SE,10,cover,1
1,C,B,Brachythecium glareosum,UA16,x,100,cover,1
1,C,B,Brachythecium glareosum,UA21,SE,10,cover,1
1,C,B,Brachythecium glareosum,UA21,x,100,cover,0.5
1,C,B,Brachythecium species,UA14,NW,1,p/a,1
1,C,B,Brachythecium species,UA14,NW,10,cover,0.1
1,C,B,Brachythecium species,UA14,SE,10,cover,0.1
1,C,B,Brachythecium species,UA14,x,100,cover,0.1
1,C,B,Bryophyta species,UA04,x,100,cover,0.1
1,C,B,Bryum argenteum,UA05,SE,10,cover,0.1
1,C,B,Bryum argenteum,UA05,x,100,cover,0.05
1,C,B,Bryum caespiticium,UA04,SE,10,cover,1
1,C,B,Bryum caespiticium,UA04,x,100,cover,0.5
1,C,B,Bryum caespiticium,UA06,NW,0.01,p/a,1
1,C,B,Bryum caespiticium,UA06,NW,0.1,p/a,1
1,C,B,Bryum caespiticium,UA06,NW,1,p/a,1
1,C,B,Bryum caespiticium,UA06,NW,10,cover,5
1,C,B,Bryum caespiticium,UA06,x,100,cover,2.5
1,C,B,Bryum caespiticium,UA08,NW,1,p/a,1
1,C,B,Bryum caespiticium,UA08,NW,10,cover,2
1,C,B,Bryum caespiticium,UA08,x,100,cover,1
1,C,B,Bryum capillare,UA04,SE,0.01,p/a,1
1,C,B,Bryum capillare,UA04,SE,0.1,p/a,1
1,C,B,Bryum capillare,UA04,SE,1,p/a,1
1,C,B,Bryum capillare,UA04,SE,10,cover,2
1,C,B,Bryum capillare,UA04,x,100,cover,1
1,C,B,Bryum capillare,UA12,NW,0.01,p/a,1
1,C,B,Bryum capillare,UA12,NW,0.1,p/a,1
1,C,B,Bryum capillare,UA12,NW,1,p/a,1
1,C,B,Bryum capillare,UA12,NW,10,cover,0.1
1,C,B,Bryum capillare,UA12,SE,1,p/a,1
1,C,B,Bryum capillare,UA12,SE,10,cover,0.3
1,C,B,Bryum capillare,UA12,x,100,cover,0.2
1,C,B,Bryum capillare,UA14,NW,10,cover,0.1
1,C,B,Bryum capillare,UA14,x,100,cover,0.05
1,C,B,Bryum kunzei,UA09,NW,0.1,p/a,1
1,C,B,Bryum kunzei,UA09,NW,1,p/a,1
1,C,B,Bryum kunzei,UA09,NW,10,cover,0.5
1,C,B,Bryum kunzei,UA09,SE,0.01,p/a,1
1,C,B,Bryum kunzei,UA09,SE,0.1,p/a,1
1,C,B,Bryum kunzei,UA09,SE,1,p/a,1
1,C,B,Bryum kunzei,UA09,SE,10,cover,2
1,C,B,Bryum kunzei,UA09,x,100,cover,1.25
1,C,B,Bryum kunzei,UA13,SE,1,p/a,1
1,C,B,Bryum kunzei,UA13,SE,10,cover,0.1
1,C,B,Bryum kunzei,UA13,x,100,cover,0.05
1,C,B,Bryum kunzei,UA20,x,100,cover,0.1
1,C,B,Bryum kunzei,UA21,SE,10,cover,1
1,C,B,Bryum kunzei,UA21,x,100,cover,0.5
1,C,B,Bryum rubens,UA04,SE,10,cover,0.1
1,C,B,Bryum rubens,UA04,x,100,cover,0.05
1,C,B,Bryum rubens,UA05,NW,10,cover,2
1,C,B,Bryum rubens,UA05,SE,10,cover,2
1,C,B,Bryum rubens,UA05,x,100,cover,2
1,C,B,Bryum ruderale,UA02,NW,10,cover,0.01
1,C,B,Bryum ruderale,UA02,x,100,cover,0.005
1,C,B,Bryum species,UA02,NW,0.001,p/a,1
1,C,B,Bryum species,UA02,NW,0.01,p/a,1
1,C,B,Bryum species,UA02,NW,0.1,p/a,1
1,C,B,Bryum species,UA02,NW,1,p/a,1
1,C,B,Bryum species,UA02,NW,10,cover,1
1,C,B,Bryum species,UA02,SE,0.01,p/a,1
1,C,B,Bryum species,UA02,SE,0.1,p/a,1
1,C,B,Bryum species,UA02,SE,1,p/a,1
1,C,B,Bryum species,UA02,SE,10,cover,5
1,C,B,Bryum species,UA02,x,100,cover,3
1,C,B,Campylophyllum calcareum,UA15,x,100,cover,0.1
1,C,B,Campylothecium chrysophyllum,UA10,SE,0.0001,p/a,1
1,C,B,Campylothecium chrysophyllum,UA10,SE,0.001,p/a,1
1,C,B,Campylothecium chrysophyllum,UA10,SE,0.01,p/a,1
1,C,B,Campylothecium chrysophyllum,UA10,SE,0.1,p/a,1
1,C,B,Campylothecium chrysophyllum,UA10,SE,1,p/a,1
1,C,B,Campylothecium chrysophyllum,UA10,SE,10,cover,1
1,C,B,Campylothecium chrysophyllum,UA10,x,100,cover,0.5
1,C,B,Ceratodon purpureus,UA04,NW,1,p/a,1
1,C,B,Ceratodon purpureus,UA04,NW,10,cover,1
1,C,B,Ceratodon purpureus,UA04,SE,10,cover,2
1,C,B,Ceratodon purpureus,UA04,x,100,cover,1.5
1,C,B,Didymodon fallax,UA09,NW,1,p/a,1
1,C,B,Didymodon fallax,UA09,NW,10,cover,0.5
1,C,B,Didymodon fallax,UA09,x,100,cover,0.25
1,C,B,Eurhynchiastrum pulchellum,UA04,NW,1,p/a,1
1,C,B,Eurhynchiastrum pulchellum,UA04,NW,10,cover,1
1,C,B,Eurhynchiastrum pulchellum,UA04,SE,1,p/a,1
1,C,B,Eurhynchiastrum pulchellum,UA04,SE,10,cover,1
1,C,B,Eurhynchiastrum pulchellum,UA04,x,100,cover,1
1,C,B,Fissidens viridulus,UA01,NW,10,cover,0.1
1,C,B,Fissidens viridulus,UA01,SE,0.1,p/a,1
1,C,B,Fissidens viridulus,UA01,SE,1,p/a,1
1,C,B,Fissidens viridulus,UA01,SE,10,cover,2
1,C,B,Fissidens viridulus,UA01,x,100,cover,1.05
1,C,B,Fissidens viridulus,UA02,NW,0.1,p/a,1
1,C,B,Fissidens viridulus,UA02,NW,1,p/a,1
1,C,B,Fissidens viridulus,UA02,NW,10,cover,1.5
1,C,B,Fissidens viridulus,UA02,SE,0.1,p/a,1
1,C,B,Fissidens viridulus,UA02,SE,1,p/a,1
1,C,B,Fissidens viridulus,UA02,SE,10,cover,0.2
1,C,B,Fissidens viridulus,UA02,x,100,cover,0.85
1,C,B,Fissidens viridulus,UA03,SE,10,cover,0.1
1,C,B,Fissidens viridulus,UA03,x,100,cover,0.05
1,C,B,Grimmia pulvinata,UA04,NW,10,cover,0.1
1,C,B,Grimmia pulvinata,UA04,x,100,cover,0.05
1,C,B,Grimmia pulvinata,UA09,SE,10,cover,0.01
1,C,B,Grimmia pulvinata,UA09,x,100,cover,0.005
1,C,B,Hedwigia ciliata,UA04,SE,10,cover,2
1,C,B,Hedwigia ciliata,UA04,x,100,cover,1
1,C,B,Homalothecium lutescens,UA07,NW,0.0001,p/a,1
1,C,B,Homalothecium lutescens,UA07,NW,0.001,p/a,1
1,C,B,Homalothecium lutescens,UA07,NW,0.01,p/a,1
1,C,B,Homalothecium lutescens,UA07,NW,0.1,p/a,1
1,C,B,Homalothecium lutescens,UA07,NW,1,p/a,1
1,C,B,Homalothecium lutescens,UA07,NW,10,cover,18
1,C,B,Homalothecium lutescens,UA07,SE,0.0001,p/a,1
1,C,B,Homalothecium lutescens,UA07,SE,0.001,p/a,1
1,C,B,Homalothecium lutescens,UA07,SE,0.01,p/a,1
1,C,B,Homalothecium lutescens,UA07,SE,0.1,p/a,1
1,C,B,Homalothecium lutescens,UA07,SE,1,p/a,1
1,C,B,Homalothecium lutescens,UA07,SE,10,cover,20
1,C,B,Homalothecium lutescens,UA07,x,100,cover,19
1,C,B,Homalothecium lutescens,UA08,NW,0.01,p/a,1
1,C,B,Homalothecium lutescens,UA08,NW,0.1,p/a,1
1,C,B,Homalothecium lutescens,UA08,NW,1,p/a,1
1,C,B,Homalothecium lutescens,UA08,NW,10,cover,1
1,C,B,Homalothecium lutescens,UA08,x,100,cover,0.5
1,C,B,Homalothecium lutescens,UA10,NW,0.001,p/a,1
1,C,B,Homalothecium lutescens,UA10,NW,0.01,p/a,1
1,C,B,Homalothecium lutescens,UA10,NW,0.1,p/a,1
1,C,B,Homalothecium lutescens,UA10,NW,1,p/a,1
1,C,B,Homalothecium lutescens,UA10,NW,10,cover,2
1,C,B,Homalothecium lutescens,UA10,SE,0.1,p/a,1
1,C,B,Homalothecium lutescens,UA10,SE,1,p/a,1
1,C,B,Homalothecium lutescens,UA10,SE,10,cover,2
1,C,B,Homalothecium lutescens,UA10,x,100,cover,2
1,C,B,Homalothecium lutescens,UA11,NW,1,p/a,1
1,C,B,Homalothecium lutescens,UA11,NW,10,cover,0.5
1,C,B,Homalothecium lutescens,UA11,SE,10,cover,10
1,C,B,Homalothecium lutescens,UA11,x,100,cover,5.25
1,C,B,Homalothecium lutescens,UA14,SE,10,cover,0.2
1,C,B,Homalothecium lutescens,UA14,x,100,cover,0.1
1,C,B,Homalothecium lutescens,UA16,NW,0.1,p/a,1
1,C,B,Homalothecium lutescens,UA16,NW,1,p/a,1
1,C,B,Homalothecium lutescens,UA16,NW,10,cover,2
1,C,B,Homalothecium lutescens,UA16,SE,10,cover,1
1,C,B,Homalothecium lutescens,UA16,x,100,cover,1.5
1,C,B,Hypnum cupressiforme,UA04,NW,0.001,p/a,1
1,C,B,Hypnum cupressiforme,UA04,NW,0.01,p/a,1
1,C,B,Hypnum cupressiforme,UA04,NW,0.1,p/a,1
1,C,B,Hypnum cupressiforme,UA04,NW,1,p/a,1
1,C,B,Hypnum cupressiforme,UA04,NW,10,cover,15
1,C,B,Hypnum cupressiforme,UA04,SE,1,p/a,1
1,C,B,Hypnum cupressiforme,UA04,SE,10,cover,12
1,C,B,Hypnum cupressiforme,UA04,x,100,cover,13.5
1,C,B,Lophocolea bidentata,UA02,NW,10,cover,0.2
1,C,B,Lophocolea bidentata,UA02,x,100,cover,0.1
1,C,B,Microbryum davallianum,UA06,NW,1,p/a,1
1,C,B,Microbryum davallianum,UA06,NW,10,cover,0.2
1,C,B,Microbryum davallianum,UA06,SE,10,cover,0.01
1,C,B,Microbryum davallianum,UA06,x,100,cover,0.105
1,C,B,Microbryum davallianum,UA12,NW,0.01,p/a,1
1,C,B,Microbryum davallianum,UA12,NW,0.1,p/a,1
1,C,B,Microbryum davallianum,UA12,NW,1,p/a,1
1,C,B,Microbryum davallianum,UA12,NW,10,cover,0.01
1,C,B,Microbryum davallianum,UA12,x,100,cover,0.005
1,C,B,Orthotrichum species,UA13,SE,1,p/a,1
1,C,B,Orthotrichum species,UA13,SE,10,cover,0.01
1,C,B,Orthotrichum species,UA13,x,100,cover,0.005
1,C,B,Oxyrrhynchium hians,UA01,NW,0.0001,p/a,1
1,C,B,Oxyrrhynchium hians,UA01,NW,0.001,p/a,1
1,C,B,Oxyrrhynchium hians,UA01,NW,0.01,p/a,1
1,C,B,Oxyrrhynchium hians,UA01,NW,0.1,p/a,1
1,C,B,Oxyrrhynchium hians,UA01,NW,1,p/a,1
1,C,B,Oxyrrhynchium hians,UA01,NW,10,cover,17
1,C,B,Oxyrrhynchium hians,UA01,SE,0.1,p/a,1
1,C,B,Oxyrrhynchium hians,UA01,SE,1,p/a,1
1,C,B,Oxyrrhynchium hians,UA01,SE,10,cover,10
1,C,B,Oxyrrhynchium hians,UA01,x,100,cover,13.5
1,C,B,Oxyrrhynchium hians,UA02,NW,10,cover,4
1,C,B,Oxyrrhynchium hians,UA02,x,100,cover,2
1,C,B,Oxyrrhynchium hians,UA03,NW,0.0001,p/a,1
1,C,B,Oxyrrhynchium hians,UA03,NW,0.001,p/a,1
1,C,B,Oxyrrhynchium hians,UA03,NW,0.01,p/a,1
1,C,B,Oxyrrhynchium hians,UA03,NW,0.1,p/a,1
1,C,B,Oxyrrhynchium hians,UA03,NW,1,p/a,1
1,C,B,Oxyrrhynchium hians,UA03,NW,10,cover,30
1,C,B,Oxyrrhynchium hians,UA03,SE,0.1,p/a,1
1,C,B,Oxyrrhynchium hians,UA03,SE,1,p/a,1
1,C,B,Oxyrrhynchium hians,UA03,SE,10,cover,2
1,C,B,Oxyrrhynchium hians,UA03,x,100,cover,16
1,C,B,Oxyrrhynchium hians,UA04,SE,0.01,p/a,1
1,C,B,Oxyrrhynchium hians,UA04,SE,0.1,p/a,1
1,C,B,Oxyrrhynchium hians,UA04,SE,1,p/a,1
1,C,B,Oxyrrhynchium hians,UA04,SE,10,cover,3
1,C,B,Oxyrrhynchium hians,UA04,x,100,cover,1.5
1,C,B,Oxyrrhynchium hians,UA05,NW,10,cover,0.2
1,C,B,Oxyrrhynchium hians,UA05,x,100,cover,0.1
1,C,B,Oxyrrhynchium hians,UA10,NW,1,p/a,1
1,C,B,Oxyrrhynchium hians,UA10,NW,10,cover,1
1,C,B,Oxyrrhynchium hians,UA10,SE,0.0001,p/a,1
1,C,B,Oxyrrhynchium hians,UA10,SE,0.001,p/a,1
1,C,B,Oxyrrhynchium hians,UA10,SE,0.01,p/a,1
1,C,B,Oxyrrhynchium hians,UA10,SE,0.1,p/a,1
1,C,B,Oxyrrhynchium hians,UA10,SE,1,p/a,1
1,C,B,Oxyrrhynchium hians,UA10,SE,10,cover,5
1,C,B,Oxyrrhynchium hians,UA10,x,100,cover,3
1,C,B,Oxyrrhynchium hians,UA11,NW,1,p/a,1
1,C,B,Oxyrrhynchium hians,UA11,NW,10,cover,0.5
1,C,B,Oxyrrhynchium hians,UA11,x,100,cover,0.25
1,C,B,Oxyrrhynchium hians,UA14,SE,0.01,p/a,1
1,C,B,Oxyrrhynchium hians,UA14,SE,0.1,p/a,1
1,C,B,Oxyrrhynchium hians,UA14,SE,1,p/a,1
1,C,B,Oxyrrhynchium hians,UA14,SE,10,cover,3
1,C,B,Oxyrrhynchium hians,UA14,x,100,cover,1.5
1,C,B,Oxyrrhynchium hians,UA15,x,100,cover,0.1
1,C,B,Physcomitrium pyriforme,UA01,NW,0.1,p/a,1
1,C,B,Physcomitrium pyriforme,UA01,NW,1,p/a,1
1,C,B,Physcomitrium pyriforme,UA01,NW,10,cover,0.1
1,C,B,Physcomitrium pyriforme,UA01,x,100,cover,0.05
1,C,B,Physcomitrium pyriforme,UA02,NW,10,cover,0.2
1,C,B,Physcomitrium pyriforme,UA02,SE,0.1,p/a,1
1,C,B,Physcomitrium pyriforme,UA02,SE,1,p/a,1
1,C,B,Physcomitrium pyriforme,UA02,SE,10,cover,0.2
1,C,B,Physcomitrium pyriforme,UA02,x,100,cover,0.2
1,C,B,Physcomitrium pyriforme,UA04,SE,0.1,p/a,1
1,C,B,Physcomitrium pyriforme,UA04,SE,1,p/a,1
1,C,B,Physcomitrium pyriforme,UA04,SE,10,cover,0.1
1,C,B,Physcomitrium pyriforme,UA04,x,100,cover,0.05
1,C,B,Physcomitrium pyriforme,UA06,SE,10,cover,0.01
1,C,B,Physcomitrium pyriforme,UA06,x,100,cover,0.005
1,C,B,Plagiomnium cuspidatum,UA03,SE,1,p/a,1
1,C,B,Plagiomnium cuspidatum,UA03,SE,10,cover,2
1,C,B,Plagiomnium cuspidatum,UA03,x,100,cover,1
1,C,B,Plagiomnium cuspidatum,UA04,NW,0.1,p/a,1
1,C,B,Plagiomnium cuspidatum,UA04,NW,1,p/a,1
1,C,B,Plagiomnium cuspidatum,UA04,NW,10,cover,1
1,C,B,Plagiomnium cuspidatum,UA04,x,100,cover,0.5
1,C,B,Plagiomnium rostratum,UA01,NW,1,p/a,1
1,C,B,Plagiomnium rostratum,UA01,NW,10,cover,0.3
1,C,B,Plagiomnium rostratum,UA01,SE,10,cover,2
1,C,B,Plagiomnium rostratum,UA01,x,100,cover,1.15
1,C,B,Plagiomnium rostratum,UA02,NW,10,cover,0.5
1,C,B,Plagiomnium rostratum,UA02,x,100,cover,0.25
1,C,B,Plagiomnium undulatum,UA01,SE,10,cover,7
1,C,B,Plagiomnium undulatum,UA01,x,100,cover,3.5
1,C,B,Pleuridium subulatum,UA01,SE,0.1,p/a,1
1,C,B,Pleuridium subulatum,UA01,SE,1,p/a,1
1,C,B,Pleuridium subulatum,UA01,SE,10,cover,1
1,C,B,Pleuridium subulatum,UA01,x,100,cover,0.5
1,C,B,Pleuridium subulatum,UA02,NW,10,cover,0.01
1,C,B,Pleuridium subulatum,UA02,SE,10,cover,0.1
1,C,B,Pleuridium subulatum,UA02,x,100,cover,0.055
1,C,B,Pleuridium subulatum,UA04,SE,0.01,p/a,1
1,C,B,Pleuridium subulatum,UA04,SE,0.1,p/a,1
1,C,B,Pleuridium subulatum,UA04,SE,1,p/a,1
1,C,B,Pleuridium subulatum,UA04,SE,10,cover,0.1
1,C,B,Pleuridium subulatum,UA04,x,100,cover,0.05
1,C,B,Protobryum bryoides,UA02,NW,10,cover,0.2
1,C,B,Protobryum bryoides,UA02,x,100,cover,0.1
1,C,B,Protobryum bryoides,UA05,NW,10,cover,0.1
1,C,B,Protobryum bryoides,UA05,SE,10,cover,0.1
1,C,B,Protobryum bryoides,UA05,x,100,cover,0.1
1,C,B,Protobryum bryoides,UA14,NW,0.0001,p/a,1
1,C,B,Protobryum bryoides,UA14,NW,0.001,p/a,1
1,C,B,Protobryum bryoides,UA14,NW,0.01,p/a,1
1,C,B,Protobryum bryoides,UA14,NW,0.1,p/a,1
1,C,B,Protobryum bryoides,UA14,NW,1,p/a,1
1,C,B,Protobryum bryoides,UA14,NW,10,cover,0.2
1,C,B,Protobryum bryoides,UA14,SE,0.1,p/a,1
1,C,B,Protobryum bryoides,UA14,SE,1,p/a,1
1,C,B,Protobryum bryoides,UA14,SE,10,cover,0.3
1,C,B,Protobryum bryoides,UA14,x,100,cover,0.25
1,C,B,Pseudocrossidium hornschuchianum,UA12,SE,10,cover,0.1
1,C,B,Pseudocrossidium hornschuchianum,UA12,x,100,cover,0.05
1,C,B,Schistidium brunnescens,UA09,NW,1,p/a,1
1,C,B,Schistidium brunnescens,UA09,NW,10,cover,1.5
1,C,B,Schistidium brunnescens,UA09,SE,10,cover,1
1,C,B,Schistidium brunnescens,UA09,x,100,cover,1.25
1,C,B,Schistidium brunnescens,UA13,SE,10,cover,1
1,C,B,Schistidium brunnescens,UA13,x,100,cover,0.5
1,C,B,Schistidium species,UA20,SE,10,cover,0.1
1,C,B,Schistidium species,UA20,x,100,cover,0.05
1,C,B,Syntrichia ruraliformis,UA08,x,100,cover,0.1
1,C,B,Syntrichia ruraliformis,UA11,SE,10,cover,0.3
1,C,B,Syntrichia ruraliformis,UA11,x,100,cover,0.15
1,C,B,Syntrichia ruraliformis,UA14,NW,10,cover,0.1
1,C,B,Syntrichia ruraliformis,UA14,x,100,cover,0.05
1,C,B,Syntrichia ruraliformis,UA21,SE,0.001,p/a,1
1,C,B,Syntrichia ruraliformis,UA21,SE,0.01,p/a,1
1,C,B,Syntrichia ruraliformis,UA21,SE,0.1,p/a,1
1,C,B,Syntrichia ruraliformis,UA21,SE,1,p/a,1
1,C,B,Syntrichia ruraliformis,UA21,SE,10,cover,8
1,C,B,Syntrichia ruraliformis,UA21,x,100,cover,4
1,C,B,Syntrichia ruralis,UA04,NW,0.1,p/a,1
1,C,B,Syntrichia ruralis,UA04,NW,1,p/a,1
1,C,B,Syntrichia ruralis,UA04,NW,10,cover,10
1,C,B,Syntrichia ruralis,UA04,SE,10,cover,0.5
1,C,B,Syntrichia ruralis,UA04,x,100,cover,5.25
1,C,B,Syntrichia ruralis,UA09,SE,10,cover,4
1,C,B,Syntrichia ruralis,UA09,x,100,cover,2
1,C,B,Syntrichia ruralis,UA12,x,100,cover,0.1
1,C,B,Weissia condensa,UA01,SE,0.1,p/a,1
1,C,B,Weissia condensa,UA01,SE,1,p/a,1
1,C,B,Weissia condensa,UA01,SE,10,cover,1
1,C,B,Weissia condensa,UA01,x,100,cover,0.5
