series,species,subplot,scale,response,value,Disturbance.Frequency,Disturbance.Severity
UA03,achillea millefolium,SE,1,p/a,1,1.31363,0.54139
UA03,achillea millefolium,SE,10,cover,3,1.31363,0.54139
UA03,achillea millefolium,x,100,cover,1.75,1.31363,0.54139
UA04,achillea millefolium,x,100,cover,0.1,1.31363,0.54139
UA06,achillea millefolium,NW,10,cover,0.5,1.31363,0.54139
UA06,achillea millefolium,SE,10,cover,1,1.31363,0.54139
UA06,achillea millefolium,x,100,cover,0.75,1.31363,0.54139
UA08,achillea millefolium,NW,1,p/a,1,1.31363,0.54139
UA08,achillea millefolium,NW,10,cover,0.5,1.31363,0.54139
UA08,achillea millefolium,x,100,cover,0.25,1.31363,0.54139
UA13,achillea millefolium,SE,1,p/a,1,1.31363,0.54139
UA13,achillea millefolium,SE,10,cover,0.5,1.31363,0.54139
UA13,achillea millefolium,x,100,cover,0.25,1.31363,0.54139
UA14,achillea millefolium,NW,1e-4,p/a,1,1.31363,0.54139
UA14,achillea millefolium,NW,0.001,p/a,1,1.31363,0.54139
UA14,achillea millefolium,NW,0.01,p/a,1,1.31363,0.54139
UA14,achillea millefolium,NW,0.1,p/a,1,1.31363,0.54139
UA14,achillea millefolium,NW,1,p/a,1,1.31363,0.54139
UA14,achillea millefolium,NW,10,cover,8,1.31363,0.54139
UA14,achillea millefolium,SE,0.01,p/a,1,1.31363,0.54139
UA14,achillea millefolium,SE,0.1,p/a,1,1.31363,0.54139
UA14,achillea millefolium,SE,1,p/a,1,1.31363,0.54139
UA14,achillea millefolium,SE,10,cover,4,1.31363,0.54139
UA14,achillea millefolium,x,100,cover,6,1.31363,0.54139
UA15,achillea millefolium,NW,0.1,p/a,1,1.31363,0.54139
UA15,achillea millefolium,NW,1,p/a,1,1.31363,0.54139
UA15,achillea millefolium,NW,10,cover,5,1.31363,0.54139
UA15,achillea millefolium,x,100,cover,2.5,1.31363,0.54139
UA16,achillea millefolium,NW,0.1,p/a,1,1.31363,0.54139
UA16,achillea millefolium,NW,1,p/a,1,1.31363,0.54139
UA16,achillea millefolium,NW,10,cover,4,1.31363,0.54139
UA16,achillea millefolium,x,100,cover,2,1.31363,0.54139
UA17,achillea millefolium,NW,10,cover,0.2,1.31363,0.54139
UA17,achillea millefolium,x,100,cover,0.1,1.31363,0.54139
UA20,achillea millefolium,NW,0.01,p/a,1,1.31363,0.54139
UA20,achillea millefolium,NW,0.1,p/a,1,1.31363,0.54139
UA20,achillea millefolium,NW,1,p/a,1,1.31363,0.54139
UA20,achillea millefolium,NW,10,cover,0.2,1.31363,0.54139
UA20,achillea millefolium,SE,1,p/a,1,1.31363,0.54139
UA20,achillea millefolium,SE,10,cover,0.7,1.31363,0.54139
UA20,achillea millefolium,x,100,cover,0.45,1.31363,0.54139
UA21,achillea millefolium,NW,0.1,p/a,1,1.31363,0.54139
UA21,achillea millefolium,NW,1,p/a,1,1.31363,0.54139
UA21,achillea millefolium,NW,10,cover,5,1.31363,0.54139
UA21,achillea millefolium,SE,1,p/a,1,1.31363,0.54139
UA21,achillea millefolium,SE,10,cover,1.5,1.31363,0.54139
UA21,achillea millefolium,x,100,cover,3.25,1.31363,0.54139
UA16,achillea nobilis,SE,10,cover,0.5,1.04194,0.53747
UA16,achillea nobilis,x,100,cover,0.25,1.04194,0.53747
UA03,achillea seidlii,SE,10,cover,1.5,1.10373,0.51731
UA03,achillea seidlii,x,100,cover,0.75,1.10373,0.51731
UA07,achillea seidlii,NW,10,cover,0.1,1.10373,0.51731
UA07,achillea seidlii,SE,0.1,p/a,1,1.10373,0.51731
UA07,achillea seidlii,SE,1,p/a,1,1.10373,0.51731
UA07,achillea seidlii,SE,10,cover,0.3,1.10373,0.51731
UA07,achillea seidlii,x,100,cover,0.2,1.10373,0.51731
UA10,achillea seidlii,NW,1,p/a,1,1.10373,0.51731
UA10,achillea seidlii,NW,10,cover,1.5,1.10373,0.51731
UA10,achillea seidlii,SE,0.1,p/a,1,1.10373,0.51731
UA10,achillea seidlii,SE,1,p/a,1,1.10373,0.51731
UA10,achillea seidlii,SE,10,cover,0.2,1.10373,0.51731
UA10,achillea seidlii,x,100,cover,0.85,1.10373,0.51731
UA11,achillea seidlii,NW,1,p/a,1,1.10373,0.51731
UA11,achillea seidlii,NW,10,cover,1,1.10373,0.51731
UA11,achillea seidlii,SE,1,p/a,1,1.10373,0.51731
UA11,achillea seidlii,SE,10,cover,1,1.10373,0.51731
UA11,achillea seidlii,x,100,cover,1,1.10373,0.51731
UA12,achillea seidlii,NW,10,cover,0.1,1.10373,0.51731
UA12,achillea seidlii,x,100,cover,0.05,1.10373,0.51731
UA13,achillea seidlii,NW,1,p/a,1,1.10373,0.51731
UA13,achillea seidlii,NW,10,cover,0.1,1.10373,0.51731
UA13,achillea seidlii,SE,10,cover,0.2,1.10373,0.51731
UA13,achillea seidlii,x,100,cover,0.15,1.10373,0.51731
UA15,achillea seidlii,SE,1,p/a,1,1.10373,0.51731
UA15,achillea seidlii,SE,10,cover,1,1.10373,0.51731
UA15,achillea seidlii,x,100,cover,0.5,1.10373,0.51731
UA03,achillea setacea,NW,10,cover,0.1,1.32183,0.53765
UA03,achillea setacea,x,100,cover,0.05,1.32183,0.53765
UA07,achillea setacea,NW,1,p/a,1,1.32183,0.53765
UA07,achillea setacea,NW,10,cover,0.3,1.32183,0.53765
UA07,achillea setacea,x,100,cover,0.15,1.32183,0.53765
UA08,achillea setacea,SE,1,p/a,1,1.32183,0.53765
UA08,achillea setacea,SE,10,cover,0.5,1.32183,0.53765
UA08,achillea setacea,x,100,cover,0.25,1.32183,0.53765
UA09,achillea setacea,x,100,cover,0.1,1.32183,0.53765
UA13,achillea setacea,NW,1,p/a,1,1.32183,0.53765
UA13,achillea setacea,NW,10,cover,0.01,1.32183,0.53765
UA13,achillea setacea,SE,10,cover,1,1.32183,0.53765
UA13,achillea setacea,x,100,cover,0.505,1.32183,0.53765
UA16,achillea setacea,SE,1e-4,p/a,1,1.32183,0.53765
UA16,achillea setacea,SE,0.001,p/a,1,1.32183,0.53765
UA16,achillea setacea,SE,0.01,p/a,1,1.32183,0.53765
UA16,achillea setacea,SE,0.1,p/a,1,1.32183,0.53765
UA16,achillea setacea,SE,1,p/a,1,1.32183,0.53765
UA16,achillea setacea,SE,10,cover,2,1.32183,0.53765
UA16,achillea setacea,x,100,cover,1,1.32183,0.53765
UA17,achillea setacea,NW,10,cover,0.3,1.32183,0.53765
UA17,achillea setacea,SE,0.1,p/a,1,1.32183,0.53765
UA17,achillea setacea,SE,1,p/a,1,1.32183,0.53765
UA17,achillea setacea,SE,10,cover,1,1.32183,0.53765
UA17,achillea setacea,x,100,cover,0.65,1.32183,0.53765
UA18,achillea setacea,NW,1,p/a,1,1.32183,0.53765
UA18,achillea setacea,NW,10,cover,0.5,1.32183,0.53765
UA18,achillea setacea,SE,10,cover,0.1,1.32183,0.53765
UA18,achillea setacea,x,100,cover,0.3,1.32183,0.53765
UA06,adonis vernalis,x,100,cover,0.1,0.89208,0.50516
UA07,adonis vernalis,NW,0.1,p/a,1,0.89208,0.50516
UA07,adonis vernalis,NW,1,p/a,1,0.89208,0.50516
UA07,adonis vernalis,NW,10,cover,1.5,0.89208,0.50516
UA07,adonis vernalis,SE,0.1,p/a,1,0.89208,0.50516
UA07,adonis vernalis,SE,1,p/a,1,0.89208,0.50516
UA07,adonis vernalis,SE,10,cover,3,0.89208,0.50516
UA07,adonis vernalis,x,100,cover,2.25,0.89208,0.50516
UA08,adonis vernalis,SE,10,cover,0.2,0.89208,0.50516
UA08,adonis vernalis,x,100,cover,0.1,0.89208,0.50516
UA15,adonis vernalis,NW,1e-4,p/a,1,0.89208,0.50516
UA15,adonis vernalis,NW,0.001,p/a,1,0.89208,0.50516
UA15,adonis vernalis,NW,0.01,p/a,1,0.89208,0.50516
UA15,adonis vernalis,NW,0.1,p/a,1,0.89208,0.50516
UA15,adonis vernalis,NW,1,p/a,1,0.89208,0.50516
UA15,adonis vernalis,NW,10,cover,6,0.89208,0.50516
UA15,adonis vernalis,SE,1,p/a,1,0.89208,0.50516
UA15,adonis vernalis,SE,10,cover,4,0.89208,0.50516
UA15,adonis vernalis,x,100,cover,5,0.89208,0.50516
UA17,adonis vernalis,NW,1,p/a,1,0.89208,0.50516
UA17,adonis vernalis,NW,10,cover,0.5,0.89208,0.50516
UA17,adonis vernalis,SE,0.1,p/a,1,0.89208,0.50516
UA17,adonis vernalis,SE,1,p/a,1,0.89208,0.50516
UA17,adonis vernalis,SE,10,cover,10,0.89208,0.50516
UA17,adonis vernalis,x,100,cover,5.25,0.89208,0.50516
UA18,adonis vernalis,SE,10,cover,0.1,0.89208,0.50516
UA18,adonis vernalis,x,100,cover,0.05,0.89208,0.50516
UA01,agrimonia eupatoria,NW,0.001,p/a,1,0.83225,0.54101
UA01,agrimonia eupatoria,NW,0.01,p/a,1,0.83225,0.54101
UA01,agrimonia eupatoria,NW,0.1,p/a,1,0.83225,0.54101
UA01,agrimonia eupatoria,NW,1,p/a,1,0.83225,0.54101
UA01,agrimonia eupatoria,NW,10,cover,40,0.83225,0.54101
UA01,agrimonia eupatoria,SE,0.1,p/a,1,0.83225,0.54101
UA01,agrimonia eupatoria,SE,1,p/a,1,0.83225,0.54101
UA01,agrimonia eupatoria,SE,10,cover,12,0.83225,0.54101
UA01,agrimonia eupatoria,x,100,cover,26,0.83225,0.54101
UA05,agrimonia eupatoria,SE,1,p/a,1,0.83225,0.54101
UA05,agrimonia eupatoria,SE,10,cover,3,0.83225,0.54101
UA05,agrimonia eupatoria,x,100,cover,1.5,0.83225,0.54101
UA06,agrimonia eupatoria,NW,10,cover,5,0.83225,0.54101
UA06,agrimonia eupatoria,SE,1,p/a,1,0.83225,0.54101
UA06,agrimonia eupatoria,SE,10,cover,1,0.83225,0.54101
UA06,agrimonia eupatoria,x,100,cover,3,0.83225,0.54101
UA07,agrimonia eupatoria,NW,10,cover,0.1,0.83225,0.54101
UA07,agrimonia eupatoria,SE,10,cover,0.1,0.83225,0.54101
UA07,agrimonia eupatoria,x,100,cover,0.1,0.83225,0.54101
UA08,agrimonia eupatoria,SE,0.01,p/a,1,0.83225,0.54101
UA08,agrimonia eupatoria,SE,0.1,p/a,1,0.83225,0.54101
UA08,agrimonia eupatoria,SE,1,p/a,1,0.83225,0.54101
UA08,agrimonia eupatoria,SE,10,cover,0.5,0.83225,0.54101
UA08,agrimonia eupatoria,x,100,cover,0.25,0.83225,0.54101
UA09,agrimonia eupatoria,NW,10,cover,0.2,0.83225,0.54101
UA09,agrimonia eupatoria,x,100,cover,0.1,0.83225,0.54101
UA10,agrimonia eupatoria,NW,10,cover,0.1,0.83225,0.54101
UA10,agrimonia eupatoria,x,100,cover,0.05,0.83225,0.54101
UA11,agrimonia eupatoria,NW,10,cover,3,0.83225,0.54101
UA11,agrimonia eupatoria,SE,10,cover,3,0.83225,0.54101
UA11,agrimonia eupatoria,x,100,cover,3,0.83225,0.54101
UA12,agrimonia eupatoria,NW,10,cover,0.2,0.83225,0.54101
UA12,agrimonia eupatoria,x,100,cover,0.1,0.83225,0.54101
UA13,agrimonia eupatoria,SE,10,cover,0.5,0.83225,0.54101
UA13,agrimonia eupatoria,x,100,cover,0.25,0.83225,0.54101
UA14,agrimonia eupatoria,x,100,cover,0.1,0.83225,0.54101
UA15,agrimonia eupatoria,NW,0.1,p/a,1,0.83225,0.54101
UA15,agrimonia eupatoria,NW,1,p/a,1,0.83225,0.54101
UA15,agrimonia eupatoria,NW,10,cover,2,0.83225,0.54101
UA15,agrimonia eupatoria,x,100,cover,1,0.83225,0.54101
UA16,agrimonia eupatoria,NW,1,p/a,1,0.83225,0.54101
UA16,agrimonia eupatoria,NW,10,cover,0.5,0.83225,0.54101
UA16,agrimonia eupatoria,x,100,cover,0.25,0.83225,0.54101
UA17,agrimonia eupatoria,SE,1,p/a,1,0.83225,0.54101
UA17,agrimonia eupatoria,SE,10,cover,0.2,0.83225,0.54101
UA17,agrimonia eupatoria,x,100,cover,0.1,0.83225,0.54101
UA18,agrimonia eupatoria,x,100,cover,0.1,0.83225,0.54101
UA20,agrimonia eupatoria,x,100,cover,0.1,0.83225,0.54101
UA21,agrimonia eupatoria,NW,10,cover,1,0.83225,0.54101
UA21,agrimonia eupatoria,x,100,cover,0.5,0.83225,0.54101
UA10,agrimonia procera,SE,10,cover,0.5,0.88164,0.52685
UA10,agrimonia procera,x,100,cover,0.25,0.88164,0.52685
UA12,agrimonia procera,x,100,cover,0.1,0.88164,0.52685
UA16,agrimonia procera,SE,1,p/a,1,0.88164,0.52685
UA16,agrimonia procera,SE,10,cover,0.2,0.88164,0.52685
UA16,agrimonia procera,x,100,cover,0.1,0.88164,0.52685
UA18,agropyron cristatum,SE,10,cover,0.2,1.69163,0.51141
UA18,agropyron cristatum,x,100,cover,0.1,1.69163,0.51141
UA01,agrostis capillaris,NW,0.1,p/a,1,0.86379,0.52099
UA01,agrostis capillaris,NW,1,p/a,1,0.86379,0.52099
UA01,agrostis capillaris,NW,10,cover,2,0.86379,0.52099
UA01,agrostis capillaris,SE,10,cover,3,0.86379,0.52099
UA01,agrostis capillaris,x,100,cover,2.5,0.86379,0.52099
UA03,agrostis capillaris,SE,10,cover,0.1,0.86379,0.52099
UA03,agrostis capillaris,x,100,cover,0.05,0.86379,0.52099
UA09,ailanthus altissima,SE,0.1,p/a,1,0.33075,0.7568
UA09,ailanthus altissima,SE,1,p/a,1,0.33075,0.7568
UA09,ailanthus altissima,SE,10,cover,0.1,0.33075,0.7568
UA09,ailanthus altissima,x,100,cover,0.05,0.33075,0.7568
UA14,ailanthus altissima,SE,10,cover,0.01,0.33075,0.7568
UA14,ailanthus altissima,x,100,cover,0.005,0.33075,0.7568
UA07,ajuga chamaepitys,x,100,cover,0.1,1.47219,0.64774
UA08,ajuga chamaepitys,NW,1,p/a,1,1.47219,0.64774
UA08,ajuga chamaepitys,NW,10,cover,0.2,1.47219,0.64774
UA08,ajuga chamaepitys,x,100,cover,0.1,1.47219,0.64774
UA12,ajuga chamaepitys,SE,1,p/a,1,1.47219,0.64774
UA12,ajuga chamaepitys,SE,10,cover,0.1,1.47219,0.64774
UA12,ajuga chamaepitys,x,100,cover,0.05,1.47219,0.64774
UA13,ajuga chamaepitys,SE,10,cover,0.2,1.47219,0.64774
UA13,ajuga chamaepitys,x,100,cover,0.1,1.47219,0.64774
UA04,ajuga genevensis,NW,10,cover,0.1,0.41869,0.57234
UA04,ajuga genevensis,SE,1,p/a,1,0.41869,0.57234
UA04,ajuga genevensis,SE,10,cover,1,0.41869,0.57234
UA04,ajuga genevensis,x,100,cover,0.55,0.41869,0.57234
UA06,ajuga genevensis,NW,0.1,p/a,1,0.41869,0.57234
UA06,ajuga genevensis,NW,1,p/a,1,0.41869,0.57234
UA06,ajuga genevensis,NW,10,cover,1,0.41869,0.57234
UA06,ajuga genevensis,x,100,cover,0.5,0.41869,0.57234
UA11,ajuga genevensis,SE,10,cover,0.5,0.41869,0.57234
UA11,ajuga genevensis,x,100,cover,0.25,0.41869,0.57234
UA14,ajuga genevensis,NW,10,cover,0.1,0.41869,0.57234
UA14,ajuga genevensis,x,100,cover,0.05,0.41869,0.57234
UA15,ajuga laxmannii,NW,1,p/a,1,0.396,0.5602
UA15,ajuga laxmannii,NW,10,cover,1,0.396,0.5602
UA15,ajuga laxmannii,SE,10,cover,0.5,0.396,0.5602
UA15,ajuga laxmannii,x,100,cover,0.75,0.396,0.5602
UA07,allium denudatum,NW,0.1,p/a,1,1.20722,0.46471
UA07,allium denudatum,NW,1,p/a,1,1.20722,0.46471
UA07,allium denudatum,NW,10,cover,1,1.20722,0.46471
UA07,allium denudatum,x,100,cover,0.5,1.20722,0.46471
UA11,allium denudatum,SE,10,cover,0.5,1.20722,0.46471
UA11,allium denudatum,x,100,cover,0.25,1.20722,0.46471
UA17,allium denudatum,NW,1,p/a,1,1.20722,0.46471
UA17,allium denudatum,NW,10,cover,0.2,1.20722,0.46471
UA17,allium denudatum,x,100,cover,0.1,1.20722,0.46471
UA03,allium flavum,NW,1,p/a,1,0.87893,0.44734
UA03,allium flavum,NW,10,cover,0.1,0.87893,0.44734
UA03,allium flavum,x,100,cover,0.05,0.87893,0.44734
UA07,allium flavum,NW,1,p/a,1,0.87893,0.44734
UA07,allium flavum,NW,10,cover,0.01,0.87893,0.44734
UA07,allium flavum,SE,1,p/a,1,0.87893,0.44734
UA07,allium flavum,SE,10,cover,0.3,0.87893,0.44734
UA07,allium flavum,x,100,cover,0.155,0.87893,0.44734
UA08,allium flavum,x,100,cover,0.1,0.87893,0.44734
UA09,allium flavum,NW,1,p/a,1,0.87893,0.44734
UA09,allium flavum,NW,10,cover,0.2,0.87893,0.44734
UA09,allium flavum,SE,0.01,p/a,1,0.87893,0.44734
UA09,allium flavum,SE,0.1,p/a,1,0.87893,0.44734
UA09,allium flavum,SE,1,p/a,1,0.87893,0.44734
UA09,allium flavum,SE,10,cover,0.2,0.87893,0.44734
UA09,allium flavum,x,100,cover,0.2,0.87893,0.44734
UA10,allium flavum,NW,1,p/a,1,0.87893,0.44734
UA10,allium flavum,NW,10,cover,0.5,0.87893,0.44734
UA10,allium flavum,SE,1,p/a,1,0.87893,0.44734
UA10,allium flavum,SE,10,cover,0.2,0.87893,0.44734
UA10,allium flavum,x,100,cover,0.35,0.87893,0.44734
UA11,allium flavum,NW,1,p/a,1,0.87893,0.44734
UA11,allium flavum,NW,10,cover,0.5,0.87893,0.44734
UA11,allium flavum,SE,1,p/a,1,0.87893,0.44734
UA11,allium flavum,SE,10,cover,2,0.87893,0.44734
UA11,allium flavum,x,100,cover,1.25,0.87893,0.44734
UA12,allium flavum,SE,10,cover,0.1,0.87893,0.44734
UA12,allium flavum,x,100,cover,0.05,0.87893,0.44734
UA13,allium flavum,NW,10,cover,0.01,0.87893,0.44734
UA13,allium flavum,SE,10,cover,0.2,0.87893,0.44734
UA13,allium flavum,x,100,cover,0.105,0.87893,0.44734
UA15,allium flavum,SE,0.1,p/a,1,0.87893,0.44734
UA15,allium flavum,SE,1,p/a,1,0.87893,0.44734
UA15,allium flavum,SE,10,cover,0.2,0.87893,0.44734
UA15,allium flavum,x,100,cover,0.1,0.87893,0.44734
UA17,allium flavum,NW,1,p/a,1,0.87893,0.44734
UA17,allium flavum,NW,10,cover,0.2,0.87893,0.44734
UA17,allium flavum,SE,1,p/a,1,0.87893,0.44734
UA17,allium flavum,SE,10,cover,0.1,0.87893,0.44734
UA17,allium flavum,x,100,cover,0.15,0.87893,0.44734
UA18,allium flavum,NW,10,cover,0.1,0.87893,0.44734
UA18,allium flavum,x,100,cover,0.05,0.87893,0.44734
UA02,allium lusitanicum,SE,0.01,p/a,1,0.73303,0.43543
UA02,allium lusitanicum,SE,0.1,p/a,1,0.73303,0.43543
UA02,allium lusitanicum,SE,1,p/a,1,0.73303,0.43543
UA02,allium lusitanicum,SE,10,cover,3,0.73303,0.43543
UA02,allium lusitanicum,x,100,cover,1.5,0.73303,0.43543
UA04,allium lusitanicum,SE,10,cover,3,0.73303,0.43543
UA04,allium lusitanicum,x,100,cover,1.5,0.73303,0.43543
UA02,allium oleraceum,SE,1,p/a,1,0.6876,0.54919
UA02,allium oleraceum,SE,10,cover,2,0.6876,0.54919
UA02,allium oleraceum,x,100,cover,1,0.6876,0.54919
UA21,allium oleraceum,NW,1,p/a,1,0.6876,0.54919
UA21,allium oleraceum,NW,10,cover,0.2,0.6876,0.54919
UA21,allium oleraceum,x,100,cover,0.1,0.6876,0.54919
UA03,allium podolicum,SE,0.1,p/a,1,1.29235,0.42347
UA03,allium podolicum,SE,1,p/a,1,1.29235,0.42347
UA03,allium podolicum,SE,10,cover,0.1,1.29235,0.42347
UA03,allium podolicum,x,100,cover,0.05,1.29235,0.42347
UA04,allium podolicum,SE,10,cover,0.2,1.29235,0.42347
UA04,allium podolicum,x,100,cover,0.1,1.29235,0.42347
UA21,allium rotundum,x,100,cover,0.1,1.16838,0.53581
UA08,allium sphaerocephalon,x,100,cover,0.1,1.0145,0.49984
UA15,allium sphaerocephalon,NW,10,cover,1,1.0145,0.49984
UA15,allium sphaerocephalon,SE,10,cover,0.2,1.0145,0.49984
UA15,allium sphaerocephalon,x,100,cover,0.6,1.0145,0.49984
UA12,alyssum alyssoides,SE,0.1,p/a,1,1.44827,0.54104
UA12,alyssum alyssoides,SE,1,p/a,1,1.44827,0.54104
UA12,alyssum alyssoides,SE,10,cover,0.3,1.44827,0.54104
UA12,alyssum alyssoides,x,100,cover,0.15,1.44827,0.54104
UA20,alyssum alyssoides,SE,10,cover,0.1,1.44827,0.54104
UA20,alyssum alyssoides,x,100,cover,0.05,1.44827,0.54104
UA08,alyssum rostratum,NW,1,p/a,1,1.18316,0.52444
UA08,alyssum rostratum,NW,10,cover,1,1.18316,0.52444
UA08,alyssum rostratum,x,100,cover,0.5,1.18316,0.52444
UA09,alyssum rostratum,NW,0.1,p/a,1,1.18316,0.52444
UA09,alyssum rostratum,NW,1,p/a,1,1.18316,0.52444
UA09,alyssum rostratum,NW,10,cover,1.5,1.18316,0.52444
UA09,alyssum rostratum,SE,0.001,p/a,1,1.18316,0.52444
UA09,alyssum rostratum,SE,0.01,p/a,1,1.18316,0.52444
UA09,alyssum rostratum,SE,0.1,p/a,1,1.18316,0.52444
UA09,alyssum rostratum,SE,1,p/a,1,1.18316,0.52444
UA09,alyssum rostratum,SE,10,cover,1,1.18316,0.52444
UA09,alyssum rostratum,x,100,cover,1.25,1.18316,0.52444
UA17,alyssum rostratum,NW,0.1,p/a,1,1.18316,0.52444
UA17,alyssum rostratum,NW,1,p/a,1,1.18316,0.52444
UA17,alyssum rostratum,NW,10,cover,0.1,1.18316,0.52444
UA17,alyssum rostratum,x,100,cover,0.05,1.18316,0.52444
UA07,ambrosia artemisiifolia,NW,10,cover,0.01,1.56932,0.74364
UA07,ambrosia artemisiifolia,x,100,cover,0.005,1.56932,0.74364
UA09,ambrosia artemisiifolia,x,100,cover,0.1,1.56932,0.74364
UA08,anagallis arvensis,NW,10,cover,0.2,1.37944,0.7871
UA08,anagallis arvensis,x,100,cover,0.1,1.37944,0.7871
UA18,anagallis arvensis,NW,1,p/a,1,1.37944,0.7871
UA18,anagallis arvensis,NW,10,cover,0.2,1.37944,0.7871
UA18,anagallis arvensis,SE,10,cover,0.1,1.37944,0.7871
UA18,anagallis arvensis,x,100,cover,0.15,1.37944,0.7871
UA06,anchusa officinalis,SE,1,p/a,1,1.42936,0.67739
UA06,anchusa officinalis,SE,10,cover,0.5,1.42936,0.67739
UA06,anchusa officinalis,x,100,cover,0.25,1.42936,0.67739
UA02,androsace elongata,SE,1,p/a,1,1.64692,0.54302
UA02,androsace elongata,SE,10,cover,0.1,1.64692,0.54302
UA02,androsace elongata,x,100,cover,0.05,1.64692,0.54302
UA04,androsace elongata,SE,10,cover,0.2,1.64692,0.54302
UA04,androsace elongata,x,100,cover,0.1,1.64692,0.54302
UA21,anemone sylvestris,x,100,cover,0.1,0.70223,0.51989
UA02,anthericum ramosum,SE,1,p/a,1,0.42126,0.53475
UA02,anthericum ramosum,SE,10,cover,0.2,0.42126,0.53475
UA02,anthericum ramosum,x,100,cover,0.1,0.42126,0.53475
UA11,anthericum ramosum,x,100,cover,0.1,0.42126,0.53475
UA12,anthericum ramosum,NW,10,cover,0.2,0.42126,0.53475
UA12,anthericum ramosum,x,100,cover,0.1,0.42126,0.53475
UA20,anthyllis vulneraria,NW,10,cover,0.1,1.18552,0.45718
UA20,anthyllis vulneraria,x,100,cover,0.05,1.18552,0.45718
UA07,arabidopsis arenosa,x,100,cover,0.1,0.33958,0.56138
UA12,arabidopsis arenosa,SE,10,cover,0.1,0.33958,0.56138
UA12,arabidopsis arenosa,x,100,cover,0.05,0.33958,0.56138
UA04,eremogone procera,SE,10,cover,0.1,1.47263,0.48647
UA04,eremogone procera,x,100,cover,0.05,1.47263,0.48647
UA03,arenaria serpyllifolia,NW,1,p/a,1,1.48069,0.59253
UA03,arenaria serpyllifolia,NW,10,cover,0.1,1.48069,0.59253
UA03,arenaria serpyllifolia,x,100,cover,0.05,1.48069,0.59253
UA04,arenaria serpyllifolia,SE,10,cover,0.5,1.48069,0.59253
UA04,arenaria serpyllifolia,x,100,cover,0.25,1.48069,0.59253
UA06,arenaria serpyllifolia,NW,0.1,p/a,1,1.48069,0.59253
UA06,arenaria serpyllifolia,NW,1,p/a,1,1.48069,0.59253
UA06,arenaria serpyllifolia,NW,10,cover,0.5,1.48069,0.59253
UA06,arenaria serpyllifolia,SE,0.001,p/a,1,1.48069,0.59253
UA06,arenaria serpyllifolia,SE,0.01,p/a,1,1.48069,0.59253
UA06,arenaria serpyllifolia,SE,0.1,p/a,1,1.48069,0.59253
UA06,arenaria serpyllifolia,SE,1,p/a,1,1.48069,0.59253
