series,species,subplot,scale,response,value
UA20,achillea millefolium,NW,1,p/a,1
UA20,achillea millefolium,NW,10,cover,0.2
UA20,achillea millefolium,SE,1,p/a,1
UA20,achillea millefolium,SE,10,cover,0.7
UA20,achillea millefolium,x,100,cover,0.45
UA21,achillea millefolium,NW,0.1,p/a,1
UA21,achillea millefolium,NW,1,p/a,1
UA21,achillea millefolium,NW,10,cover,5
UA21,achillea millefolium,SE,1,p/a,1
UA21,achillea millefolium,SE,10,cover,1.5
UA21,achillea millefolium,x,100,cover,3.25
UA16,achillea nobilis,SE,10,cover,0.5
UA16,achillea nobilis,x,100,cover,0.25
UA03,achillea seidlii,SE,10,cover,1.5
UA03,achillea seidlii,x,100,cover,0.75
UA07,achillea seidlii,NW,10,cover,0.1
UA07,achillea seidlii,SE,0.1,p/a,1
UA07,achillea seidlii,SE,1,p/a,1
UA07,achillea seidlii,SE,10,cover,0.3
UA07,achillea seidlii,x,100,cover,0.2
UA10,achillea seidlii,NW,1,p/a,1
UA10,achillea seidlii,NW,10,cover,1.5
UA10,achillea seidlii,SE,0.1,p/a,1
UA10,achillea seidlii,SE,1,p/a,1
UA10,achillea seidlii,SE,10,cover,0.2
UA10,achillea seidlii,x,100,cover,0.85
UA11,achillea seidlii,NW,1,p/a,1
UA11,achillea seidlii,NW,10,cover,1
UA11,achillea seidlii,SE,1,p/a,1
UA11,achillea seidlii,SE,10,cover,1
UA11,achillea seidlii,x,100,cover,1
UA12,achillea seidlii,NW,10,cover,0.1
UA12,achillea seidlii,x,100,cover,0.05
UA13,achillea seidlii,NW,1,p/a,1
UA13,achillea seidlii,NW,10,cover,0.1
UA13,achillea seidlii,SE,10,cover,0.2
UA13,achillea seidlii,x,100,cover,0.15
UA15,achillea seidlii,SE,1,p/a,1
UA15,achillea seidlii,SE,10,cover,1
UA15,achillea seidlii,x,100,cover,0.5
UA03,achillea setacea,NW,10,cover,0.1
UA03,achillea setacea,x,100,cover,0.05
UA07,achillea setacea,NW,1,p/a,1
UA07,achillea setacea,NW,10,cover,0.3
UA07,achillea setacea,x,100,cover,0.15
UA08,achillea setacea,SE,1,p/a,1
UA08,achillea setacea,SE,10,cover,0.5
UA08,achillea setacea,x,100,cover,0.25
UA09,achillea setacea,x,100,cover,0.1
UA13,achillea setacea,NW,1,p/a,1
UA13,achillea setacea,NW,10,cover,0.01
UA13,achillea setacea,SE,10,cover,1
UA13,achillea setacea,x,100,cover,0.505
UA16,achillea setacea,SE,1e-4,p/a,1
UA16,achillea setacea,SE,0.001,p/a,1
UA16,achillea setacea,SE,0.01,p/a,1
UA16,achillea setacea,SE,0.1,p/a,1
UA16,achillea setacea,SE,1,p/a,1
UA16,achillea setacea,SE,10,cover,2
UA16,achillea setacea,x,100,cover,1
UA17,achillea setacea,NW,10,cover,0.3
UA17,achillea setacea,SE,0.1,p/a,1
UA17,achillea setacea,SE,1,p/a,1
UA17,achillea setacea,SE,10,cover,1
UA17,achillea setacea,x,100,cover,0.65
UA18,achillea setacea,NW,1,p/a,1
UA18,achillea setacea,NW,10,cover,0.5
UA18,achillea setacea,SE,10,cover,0.1
UA18,achillea setacea,x,100,cover,0.3
UA06,adonis vernalis,x,100,cover,0.1
UA07,adonis vernalis,NW,0.1,p/a,1
UA07,adonis vernalis,NW,1,p/a,1
UA07,adonis vernalis,NW,10,cover,1.5
UA07,adonis vernalis,SE,0.1,p/a,1
UA07,adonis vernalis,SE,1,p/a,1
UA07,adonis vernalis,SE,10,cover,3
UA07,adonis vernalis,x,100,cover,2.25
UA08,adonis vernalis,SE,10,cover,0.2
UA08,adonis vernalis,x,100,cover,0.1
UA15,adonis vernalis,NW,1e-4,p/a,1
UA15,adonis vernalis,NW,0.001,p/a,1
UA15,adonis vernalis,NW,0.01,p/a,1
UA15,adonis vernalis,NW,0.1,p/a,1
UA15,adonis vernalis,NW,1,p/a,1
UA15,adonis vernalis,NW,10,cover,6
UA15,adonis vernalis,SE,1,p/a,1
UA15,adonis vernalis,SE,10,cover,4
UA15,adonis vernalis,x,100,cover,5
UA17,adonis vernalis,NW,1,p/a,1
UA17,adonis vernalis,NW,10,cover,0.5
UA17,adonis vernalis,SE,0.1,p/a,1
UA17,adonis vernalis,SE,1,p/a,1
UA17,adonis vernalis,SE,10,cover,10
UA17,adonis vernalis,x,100,cover,5.25
UA18,adonis vernalis,SE,10,cover,0.1
UA18,adonis vernalis,x,100,cover,0.05
UA01,agrimonia eupatoria,NW,0.001,p/a,1
UA01,agrimonia eupatoria,NW,0.01,p/a,1
UA01,agrimonia eupatoria,NW,0.1,p/a,1
UA01,agrimonia eupatoria,NW,1,p/a,1
UA01,agrimonia eupatoria,NW,10,cover,40
UA01,agrimonia eupatoria,SE,0.1,p/a,1
UA01,agrimonia eupatoria,SE,1,p/a,1
UA01,agrimonia eupatoria,SE,10,cover,12
UA01,agrimonia eupatoria,x,100,cover,26
UA05,agrimonia eupatoria,SE,1,p/a,1
UA05,agrimonia eupatoria,SE,10,cover,3
UA05,agrimonia eupatoria,x,100,cover,1.5
UA06,agrimonia eupatoria,NW,10,cover,5
UA06,agrimonia eupatoria,SE,1,p/a,1
UA06,agrimonia eupatoria,SE,10,cover,1
UA06,agrimonia eupatoria,x,100,cover,3
UA07,agrimonia eupatoria,NW,10,cover,0.1
UA07,agrimonia eupatoria,SE,10,cover,0.1
UA07,agrimonia eupatoria,x,100,cover,0.1
UA08,agrimonia eupatoria,SE,0.01,p/a,1
UA08,agrimonia eupatoria,SE,0.1,p/a,1
UA08,agrimonia eupatoria,SE,1,p/a,1
UA08,agrimonia eupatoria,SE,10,cover,0.5
UA08,agrimonia eupatoria,x,100,cover,0.25
UA09,agrimonia eupatoria,NW,10,cover,0.2
UA09,agrimonia eupatoria,x,100,cover,0.1
UA10,agrimonia eupatoria,NW,10,cover,0.1
UA10,agrimonia eupatoria,x,100,cover,0.05
UA11,agrimonia eupatoria,NW,10,cover,3
UA11,agrimonia eupatoria,SE,10,cover,3
UA11,agrimonia eupatoria,x,100,cover,3
UA12,agrimonia eupatoria,NW,10,cover,0.2
UA12,agrimonia eupatoria,x,100,cover,0.1
UA13,agrimonia eupatoria,SE,10,cover,0.5
UA13,agrimonia eupatoria,x,100,cover,0.25
UA14,agrimonia eupatoria,x,100,cover,0.1
UA15,agrimonia eupatoria,NW,0.1,p/a,1
UA15,agrimonia eupatoria,NW,1,p/a,1
UA15,agrimonia eupatoria,NW,10,cover,2
UA15,agrimonia eupatoria,x,100,cover,1
UA16,agrimonia eupatoria,NW,1,p/a,1
UA16,agrimonia eupatoria,NW,10,cover,0.5
UA16,agrimonia eupatoria,x,100,cover,0.25
UA17,agrimonia eupatoria,SE,1,p/a,1
UA17,agrimonia eupatoria,SE,10,cover,0.2
UA17,agrimonia eupatoria,x,100,cover,0.1
UA18,agrimonia eupatoria,x,100,cover,0.1
UA20,agrimonia eupatoria,x,100,cover,0.1
UA21,agrimonia eupatoria,NW,10,cover,1
UA21,agrimonia eupatoria,x,100,cover,0.5
UA10,agrimonia procera,SE,10,cover,0.5
UA10,agrimonia procera,x,100,cover,0.25
UA12,agrimonia procera,x,100,cover,0.1
UA16,agrimonia procera,SE,1,p/a,1
UA16,agrimonia procera,SE,10,cover,0.2
UA16,agrimonia procera,x,100,cover,0.1
UA18,agropyron cristatum,SE,10,cover,0.2
UA18,agropyron cristatum,x,100,cover,0.1
UA01,agrostis capillaris,NW,0.1,p/a,1
UA01,agrostis capillaris,NW,1,p/a,1
UA01,agrostis capillaris,NW,10,cover,2
UA01,agrostis capillaris,SE,10,cover,3
UA01,agrostis capillaris,x,100,cover,2.5
UA03,agrostis capillaris,SE,10,cover,0.1
UA03,agrostis capillaris,x,100,cover,0.05
UA09,ailanthus altissima,SE,0.1,p/a,1
UA09,ailanthus altissima,SE,1,p/a,1
UA09,ailanthus altissima,SE,10,cover,0.1
UA09,ailanthus altissima,x,100,cover,0.05
UA14,ailanthus altissima,SE,10,cover,0.01
UA14,ailanthus altissima,x,100,cover,0.005
UA07,ajuga chamaepitys,x,100,cover,0.1
UA08,ajuga chamaepitys,NW,1,p/a,1
UA08,ajuga chamaepitys,NW,10,cover,0.2
UA08,ajuga chamaepitys,x,100,cover,0.1
UA12,ajuga chamaepitys,SE,1,p/a,1
UA12,ajuga chamaepitys,SE,10,cover,0.1
UA12,ajuga chamaepitys,x,100,cover,0.05
UA13,ajuga chamaepitys,SE,10,cover,0.2
UA13,ajuga chamaepitys,x,100,cover,0.1
UA04,ajuga genevensis,NW,10,cover,0.1
UA04,ajuga genevensis,SE,1,p/a,1
UA04,ajuga genevensis,SE,10,cover,1
UA04,ajuga genevensis,x,100,cover,0.55
UA06,ajuga genevensis,NW,0.1,p/a,1
UA06,ajuga genevensis,NW,1,p/a,1
UA06,ajuga genevensis,NW,10,cover,1
UA06,ajuga genevensis,x,100,cover,0.5
UA11,ajuga genevensis,SE,10,cover,0.5
UA11,ajuga genevensis,x,100,cover,0.25
UA14,ajuga genevensis,NW,10,cover,0.1
UA14,ajuga genevensis,x,100,cover,0.05
UA15,ajuga laxmannii,NW,1,p/a,1
UA15,ajuga laxmannii,NW,10,cover,1
UA15,ajuga laxmannii,SE,10,cover,0.5
UA15,ajuga laxmannii,x,100,cover,0.75
UA07,allium denudatum,NW,0.1,p/a,1
UA07,allium denudatum,NW,1,p/a,1
UA07,allium denudatum,NW,10,cover,1
UA07,allium denudatum,x,100,cover,0.5
UA11,allium denudatum,SE,10,cover,0.5
UA11,allium denudatum,x,100,cover,0.25
UA17,allium denudatum,NW,1,p/a,1
UA17,allium denudatum,NW,10,cover,0.2
UA17,allium denudatum,x,100,cover,0.1
UA03,allium flavum,NW,1,p/a,1
UA03,allium flavum,NW,10,cover,0.1
UA03,allium flavum,x,100,cover,0.05
UA07,allium flavum,NW,1,p/a,1
UA07,allium flavum,NW,10,cover,0.01
UA07,allium flavum,SE,1,p/a,1
UA07,allium flavum,SE,10,cover,0.3
UA07,allium flavum,x,100,cover,0.155
UA08,allium flavum,x,100,cover,0.1
UA09,allium flavum,NW,1,p/a,1
UA09,allium flavum,NW,10,cover,0.2
UA09,allium flavum,SE,0.01,p/a,1
UA09,allium flavum,SE,0.1,p/a,1
UA09,allium flavum,SE,1,p/a,1
UA09,allium flavum,SE,10,cover,0.2
UA09,allium flavum,x,100,cover,0.2
UA10,allium flavum,NW,1,p/a,1
UA10,allium flavum,NW,10,cover,0.5
UA10,allium flavum,SE,1,p/a,1
UA10,allium flavum,SE,10,cover,0.2
UA10,allium flavum,x,100,cover,0.35
UA11,allium flavum,NW,1,p/a,1
UA11,allium flavum,NW,10,cover,0.5
UA11,allium flavum,SE,1,p/a,1
UA11,allium flavum,SE,10,cover,2
UA11,allium flavum,x,100,cover,1.25
UA12,allium flavum,SE,10,cover,0.1
UA12,allium flavum,x,100,cover,0.05
UA13,allium flavum,NW,10,cover,0.01
UA13,allium flavum,SE,10,cover,0.2
UA13,allium flavum,x,100,cover,0.105
UA15,allium flavum,SE,0.1,p/a,1
UA15,allium flavum,SE,1,p/a,1
UA15,allium flavum,SE,10,cover,0.2
UA15,allium flavum,x,100,cover,0.1
UA17,allium flavum,NW,1,p/a,1
UA17,allium flavum,NW,10,cover,0.2
UA17,allium flavum,SE,1,p/a,1
UA17,allium flavum,SE,10,cover,0.1
UA17,allium flavum,x,100,cover,0.15
UA18,allium flavum,NW,10,cover,0.1
UA18,allium flavum,x,100,cover,0.05
UA02,allium lusitanicum,SE,0.01,p/a,1
UA02,allium lusitanicum,SE,0.1,p/a,1
UA02,allium lusitanicum,SE,1,p/a,1
UA02,allium lusitanicum,SE,10,cover,3
UA02,allium lusitanicum,x,100,cover,1.5
UA04,allium lusitanicum,SE,10,cover,3
UA04,allium lusitanicum,x,100,cover,1.5
UA02,allium oleraceum,SE,1,p/a,1
UA02,allium oleraceum,SE,10,cover,2
UA02,allium oleraceum,x,100,cover,1
UA21,allium oleraceum,NW,1,p/a,1
UA21,allium oleraceum,NW,10,cover,0.2
UA21,allium oleraceum,x,100,cover,0.1
UA03,allium podolicum,SE,0.1,p/a,1
UA03,allium podolicum,SE,1,p/a,1
UA03,allium podolicum,SE,10,cover,0.1
UA03,allium podolicum,x,100,cover,0.05
UA04,allium podolicum,SE,10,cover,0.2
UA04,allium podolicum,x,100,cover,0.1
UA21,allium rotundum,x,100,cover,0.1
UA08,allium sphaerocephalon,x,100,cover,0.1
UA15,allium sphaerocephalon,NW,10,cover,1
UA15,allium sphaerocephalon,SE,10,cover,0.2
UA15,allium sphaerocephalon,x,100,cover,0.6
UA12,alyssum alyssoides,SE,0.1,p/a,1
UA12,alyssum alyssoides,SE,1,p/a,1
UA12,alyssum alyssoides,SE,10,cover,0.3
UA12,alyssum alyssoides,x,100,cover,0.15
UA20,alyssum alyssoides,SE,10,cover,0.1
UA20,alyssum alyssoides,x,100,cover,0.05
UA08,alyssum rostratum,NW,1,p/a,1
UA08,alyssum rostratum,NW,10,cover,1
UA08,alyssum rostratum,x,100,cover,0.5
UA09,alyssum rostratum,NW,0.1,p/a,1
UA09,alyssum rostratum,NW,1,p/a,1
UA09,alyssum rostratum,NW,10,cover,1.5
UA09,alyssum rostratum,SE,0.001,p/a,1
UA09,alyssum rostratum,SE,0.01,p/a,1
UA09,alyssum rostratum,SE,0.1,p/a,1
UA09,alyssum rostratum,SE,1,p/a,1
UA09,alyssum rostratum,SE,10,cover,1
UA09,alyssum rostratum,x,100,cover,1.25
UA17,alyssum rostratum,NW,0.1,p/a,1
UA17,alyssum rostratum,NW,1,p/a,1
UA17,alyssum rostratum,NW,10,cover,0.1
UA17,alyssum rostratum,x,100,cover,0.05
UA07,ambrosia artemisiifolia,NW,10,cover,0.01
UA07,ambrosia artemisiifolia,x,100,cover,0.005
UA09,ambrosia artemisiifolia,x,100,cover,0.1
UA08,anagallis arvensis,NW,10,cover,0.2
UA08,anagallis arvensis,x,100,cover,0.1
UA18,anagallis arvensis,NW,1,p/a,1
UA18,anagallis arvensis,NW,10,cover,0.2
UA18,anagallis arvensis,SE,10,cover,0.1
UA18,anagallis arvensis,x,100,cover,0.15
UA06,anchusa officinalis,SE,1,p/a,1
UA06,anchusa officinalis,SE,10,cover,0.5
UA06,anchusa officinalis,x,100,cover,0.25
UA02,androsace elongata,SE,1,p/a,1
UA02,androsace elongata,SE,10,cover,0.1
UA02,androsace elongata,x,100,cover,0.05
UA04,androsace elongata,SE,10,cover,0.2
UA04,androsace elongata,x,100,cover,0.1
UA21,anemone sylvestris,x,100,cover,0.1
UA02,anthericum ramosum,SE,1,p/a,1
UA02,anthericum ramosum,SE,10,cover,0.2
UA02,anthericum ramosum,x,100,cover,0.1
UA11,anthericum ramosum,x,100,cover,0.1
UA12,anthericum ramosum,NW,10,cover,0.2
UA12,anthericum ramosum,x,100,cover,0.1
UA20,anthyllis vulneraria,NW,10,cover,0.1
UA20,anthyllis vulneraria,x,100,cover,0.05
UA07,arabidopsis arenosa,x,100,cover,0.1
UA12,arabidopsis arenosa,SE,10,cover,0.1
UA12,arabidopsis arenosa,x,100,cover,0.05
UA04,eremogone procera,SE,10,cover,0.1
UA04,eremogone procera,x,100,cover,0.05
UA03,arenaria serpyllifolia,NW,1,p/a,1
UA03,arenaria serpyllifolia,NW,10,cover,0.1
UA03,arenaria serpyllifolia,x,100,cover,0.05
UA04,arenaria serpyllifolia,SE,10,cover,0.5
UA04,arenaria serpyllifolia,x,100,cover,0.25
UA06,arenaria serpyllifolia,NW,0.1,p/a,1
UA06,arenaria serpyllifolia,NW,1,p/a,1
UA06,arenaria serpyllifolia,NW,10,cover,0.5
UA06,arenaria serpyllifolia,SE,0.001,p/a,1
UA06,arenaria serpyllifolia,SE,0.01,p/a,1
UA06,arenaria serpyllifolia,SE,0.1,p/a,1
UA06,arenaria serpyllifolia,SE,1,p/a,1
UA06,arenaria serpyllifolia,SE,10,cover,0.5
UA06,arenaria serpyllifolia,x,100,cover,0.5
UA07,arenaria serpyllifolia,NW,10,cover,0.01
UA07,arenaria serpyllifolia,SE,10,cover,0.1
UA07,arenaria serpyllifolia,x,100,cover,0.055
UA08,arenaria serpyllifolia,NW,10,cover,0.5
UA08,arenaria serpyllifolia,SE,0.01,p/a,1
UA08,arenaria serpyllifolia,SE,0.1,p/a,1
UA08,arenaria serpyllifolia,SE,1,p/a,1
UA08,arenaria serpyllifolia,SE,10,cover,1
UA08,arenaria serpyllifolia,x,100,cover,0.75
UA09,arenaria serpyllifolia,NW,1,p/a,1
UA09,arenaria serpyllifolia,NW,10,cover,0.1
UA09,arenaria serpyllifolia,SE,1,p/a,1
UA09,arenaria serpyllifolia,SE,10,cover,0.3
UA09,arenaria serpyllifolia,x,100,cover,0.2
UA12,arenaria serpyllifolia,NW,10,cover,0.02
UA12,arenaria serpyllifolia,SE,1e-4,p/a,1
UA12,arenaria serpyllifolia,SE,0.001,p/a,1
UA12,arenaria serpyllifolia,SE,0.01,p/a,1
UA12,arenaria serpyllifolia,SE,0.1,p/a,1
UA12,arenaria serpyllifolia,SE,1,p/a,1
UA12,arenaria serpyllifolia,SE,10,cover,8
UA12,arenaria serpyllifolia,x,100,cover,4.01
UA14,arenaria serpyllifolia,SE,10,cover,0.5
UA14,arenaria serpyllifolia,x,100,cover,0.25
UA15,arenaria serpyllifolia,SE,1e-4,p/a,1
UA15,arenaria serpyllifolia,SE,0.001,p/a,1
UA15,arenaria serpyllifolia,SE,0.01,p/a,1
UA15,arenaria serpyllifolia,SE,0.1,p/a,1
UA15,arenaria serpyllifolia,SE,1,p/a,1
UA15,arenaria serpyllifolia,SE,10,cover,0.5
UA15,arenaria serpyllifolia,x,100,cover,0.25
UA16,arenaria serpyllifolia,NW,0.1,p/a,1
UA16,arenaria serpyllifolia,NW,1,p/a,1
UA16,arenaria serpyllifolia,NW,10,cover,1
UA16,arenaria serpyllifolia,SE,10,cover,0.1
UA16,arenaria serpyllifolia,x,100,cover,0.55
UA18,arenaria serpyllifolia,NW,0.01,p/a,1
UA18,arenaria serpyllifolia,NW,0.1,p/a,1
UA18,arenaria serpyllifolia,NW,1,p/a,1
UA18,arenaria serpyllifolia,NW,10,cover,0.2
UA18,arenaria serpyllifolia,x,100,cover,0.1
UA20,arenaria serpyllifolia,NW,0.1,p/a,1
UA20,arenaria serpyllifolia,NW,1,p/a,1
UA20,arenaria serpyllifolia,NW,10,cover,0.2
UA20,arenaria serpyllifolia,SE,10,cover,0.1
UA20,arenaria serpyllifolia,x,100,cover,0.15
UA21,arenaria serpyllifolia,NW,0.01,p/a,1
UA21,arenaria serpyllifolia,NW,0.1,p/a,1
UA21,arenaria serpyllifolia,NW,1,p/a,1
UA21,arenaria serpyllifolia,NW,10,cover,0.3
UA21,arenaria serpyllifolia,x,100,cover,0.15
UA01,arrhenatherum elatius,SE,10,cover,0.2
UA01,arrhenatherum elatius,x,100,cover,0.1
UA03,artemisia absinthium,x,100,cover,0.1
UA04,artemisia absinthium,SE,10,cover,0.2
UA04,artemisia absinthium,x,100,cover,0.1
UA14,artemisia absinthium,x,100,cover,0.1
UA16,artemisia absinthium,NW,10,cover,0.01
UA16,artemisia absinthium,SE,10,cover,0.1
UA16,artemisia absinthium,x,100,cover,0.055
UA04,artemisia austriaca,NW,1,p/a,1
UA04,artemisia austriaca,NW,10,cover,2
UA04,artemisia austriaca,x,100,cover,1
UA07,artemisia austriaca,NW,1,p/a,1
UA07,artemisia austriaca,NW,10,cover,0.5
UA07,artemisia austriaca,SE,0.1,p/a,1
UA07,artemisia austriaca,SE,1,p/a,1
UA07,artemisia austriaca,SE,10,cover,0.5
UA07,artemisia austriaca,x,100,cover,0.5
UA08,artemisia austriaca,NW,10,cover,0.5
UA08,artemisia austriaca,x,100,cover,0.25
UA09,artemisia austriaca,x,100,cover,0.1
UA14,artemisia austriaca,NW,1,p/a,1
UA14,artemisia austriaca,NW,10,cover,0.1
UA14,artemisia austriaca,x,100,cover,0.05
UA04,artemisia campestris,x,100,cover,0.1
UA19,artemisia campestris,NW,0.001,p/a,1
UA19,artemisia campestris,NW,0.01,p/a,1
UA19,artemisia campestris,NW,0.1,p/a,1
UA19,artemisia campestris,NW,1,p/a,1
UA19,artemisia campestris,NW,10,cover,8
UA19,artemisia campestris,x,100,cover,4
UA20,artemisia campestris,SE,10,cover,0.4
UA20,artemisia campestris,x,100,cover,0.2
UA18,artemisia scoparia,x,100,cover,0.1
UA05,asparagus officinalis,x,100,cover,0.1
UA06,asparagus officinalis,x,100,cover,0.1
UA01,asperula cynanchica,NW,1e-4,p/a,1
UA01,asperula cynanchica,NW,0.001,p/a,1
UA01,asperula cynanchica,NW,0.01,p/a,1
UA01,asperula cynanchica,NW,0.1,p/a,1
UA01,asperula cynanchica,NW,1,p/a,1
UA01,asperula cynanchica,NW,10,cover,15
UA01,asperula cynanchica,SE,1e-4,p/a,1
UA01,asperula cynanchica,SE,0.001,p/a,1
UA01,asperula cynanchica,SE,0.01,p/a,1
UA01,asperula cynanchica,SE,0.1,p/a,1
UA01,asperula cynanchica,SE,1,p/a,1
UA01,asperula cynanchica,SE,10,cover,1
UA01,asperula cynanchica,x,100,cover,8
UA02,asperula cynanchica,NW,1,p/a,1
UA02,asperula cynanchica,NW,10,cover,2
UA02,asperula cynanchica,SE,0.01,p/a,1
UA02,asperula cynanchica,SE,0.1,p/a,1
UA02,asperula cynanchica,SE,1,p/a,1
UA02,asperula cynanchica,SE,10,cover,2
UA02,asperula cynanchica,x,100,cover,2
UA03,asperula cynanchica,NW,10,cover,1
UA03,asperula cynanchica,SE,10,cover,0.2
UA03,asperula cynanchica,x,100,cover,0.6
UA04,asperula cynanchica,SE,1,p/a,1
UA04,asperula cynanchica,SE,10,cover,0.5
UA04,asperula cynanchica,x,100,cover,0.25
UA05,asperula cynanchica,NW,0.1,p/a,1
UA05,asperula cynanchica,NW,1,p/a,1
UA05,asperula cynanchica,NW,10,cover,1
UA05,asperula cynanchica,SE,10,cover,2
UA05,asperula cynanchica,x,100,cover,1.5
UA07,asperula cynanchica,NW,1e-4,p/a,1
UA07,asperula cynanchica,NW,0.001,p/a,1
UA07,asperula cynanchica,NW,0.01,p/a,1
UA07,asperula cynanchica,NW,0.1,p/a,1
UA07,asperula cynanchica,NW,1,p/a,1
UA07,asperula cynanchica,NW,10,cover,18
UA07,asperula cynanchica,SE,10,cover,0.7
UA07,asperula cynanchica,x,100,cover,9.35
UA08,asperula cynanchica,NW,1e-4,p/a,1
UA08,asperula cynanchica,NW,0.001,p/a,1
UA08,asperula cynanchica,NW,0.01,p/a,1
UA08,asperula cynanchica,NW,0.1,p/a,1
UA08,asperula cynanchica,NW,1,p/a,1
UA08,asperula cynanchica,NW,10,cover,2.5
UA08,asperula cynanchica,SE,0.1,p/a,1
UA08,asperula cynanchica,SE,1,p/a,1
UA08,asperula cynanchica,SE,10,cover,2
UA08,asperula cynanchica,x,100,cover,2.25
UA09,asperula cynanchica,NW,1,p/a,1
UA09,asperula cynanchica,NW,10,cover,2
UA09,asperula cynanchica,SE,1,p/a,1
UA09,asperula cynanchica,SE,10,cover,2
UA09,asperula cynanchica,x,100,cover,2
UA10,asperula cynanchica,NW,1,p/a,1
UA10,asperula cynanchica,NW,10,cover,1
UA10,asperula cynanchica,SE,0.1,p/a,1
UA10,asperula cynanchica,SE,1,p/a,1
UA10,asperula cynanchica,SE,10,cover,0.5
UA10,asperula cynanchica,x,100,cover,0.75
UA11,asperula cynanchica,NW,0.1,p/a,1
UA11,asperula cynanchica,NW,1,p/a,1
UA11,asperula cynanchica,NW,10,cover,1
UA11,asperula cynanchica,SE,0.001,p/a,1
UA11,asperula cynanchica,SE,0.01,p/a,1
UA11,asperula cynanchica,SE,0.1,p/a,1
UA11,asperula cynanchica,SE,1,p/a,1
UA11,asperula cynanchica,SE,10,cover,1
UA11,asperula cynanchica,x,100,cover,1
UA12,asperula cynanchica,NW,0.1,p/a,1
UA12,asperula cynanchica,NW,1,p/a,1
UA12,asperula cynanchica,NW,10,cover,1
UA12,asperula cynanchica,SE,10,cover,0.1
UA12,asperula cynanchica,x,100,cover,0.55
