predictor,response_variable,model.1_F.value,model.1_p.value,model.1_AIC,model.1_logLik,model.2_F.value,model.2_p.value,model.2_AIC,model.2_logLik,logLik_pval,final_model,final_mod_formula
Disturbance severity,neophyte percent,1.068,0.36,451.875,-222.938,1.721,0.318,450.71,-221.355,0.149,m1,slope ~ log(scale)
Grazing,neophyte percent,3,0.182,348.739,-171.369,6,0.143,344.475,-168.238,0.025,m2_poly,"slope ~ poly(log(scale), 2)"
Heat index,neophyte percent,3,0.182,337.543,-165.772,6,0.143,333.28,-162.64,0.025,m2_poly,"slope ~ poly(log(scale), 2)"
Microrelief,neophyte percent,3,0.182,311.648,-152.824,6,0.143,307.384,-149.692,0.025,m2_poly,"slope ~ poly(log(scale), 2)"
Mowing,neophyte percent,3,0.182,354.813,-174.406,6,0.143,350.549,-171.274,0.025,m2_poly,"slope ~ poly(log(scale), 2)"
Climate PC,neophyte percent,3,0.182,336.884,-165.442,6,0.143,332.621,-162.31,0.025,m2_poly,"slope ~ poly(log(scale), 2)"
Soil pH,neophyte percent,3,0.182,337.174,-165.587,6,0.143,332.91,-162.455,0.025,m2_poly,"slope ~ poly(log(scale), 2)"
Road density,neophyte percent,1.256,0.325,409.38,-201.69,1.994,0.281,407.944,-199.972,0.128,m1,slope ~ log(scale)
Abandonment,non native percent,3,0.158,161.939,-77.969,5.5,0.099,158.054,-75.027,0.025,m2_poly,"slope ~ poly(log(scale), 2)"
Urban built-up (1000 m),non native percent,3,0.158,151.946,-72.973,5.5,0.099,148.061,-70.031,0.025,m2_poly,"slope ~ poly(log(scale), 2)"
Urban built-up (250 m),non native percent,30.63,0.005,-10.737,8.368,39.973,0.007,-15.704,11.852,0.01,m2_poly,"slope ~ poly(log(scale), 2)"
Urban built-up (500 m),non native percent,20.381,0.011,-9.689,7.844,11.422,0.04,-9.765,8.882,0.265,m1,slope ~ log(scale)
Gravel & stone cover,non native percent,3,0.158,164.46,-79.23,5.5,0.099,160.575,-76.287,0.025,m2_poly,"slope ~ poly(log(scale), 2)"
Herb cover,non native percent,3,0.158,165.454,-79.727,5.5,0.099,161.569,-76.785,0.025,m2_poly,"slope ~ poly(log(scale), 2)"
Litter cover,non native percent,3,0.158,155.774,-74.887,5.5,0.099,151.889,-71.944,0.025,m2_poly,"slope ~ poly(log(scale), 2)"
Croplands cover (1000 m),non native percent,3,0.158,159.153,-76.576,5.5,0.099,155.268,-73.634,0.025,m2_poly,"slope ~ poly(log(scale), 2)"
Croplands cover (250 m),non native percent,1.856,0.245,-10.079,8.039,11.569,0.039,-18.781,13.39,0,m2_poly,"slope ~ poly(log(scale), 2)"
Croplands cover (500 m),non native percent,0.425,0.55,-6.54,6.27,7.076,0.073,-14.396,11.198,0,m2_poly,"slope ~ poly(log(scale), 2)"
Disturbance frequency,non native percent,1.016,0.37,-3.19,4.595,6.304,0.084,-9.727,8.863,0.002,m2_poly,"slope ~ poly(log(scale), 2)"
Disturbance severity,non native percent,12.434,0.024,24.246,-9.123,6.805,0.077,24.456,-8.228,0.307,m1,slope ~ log(scale)
Grazing,non native percent,3,0.158,142.869,-68.434,5.5,0.099,138.984,-65.492,0.025,m2_poly,"slope ~ poly(log(scale), 2)"
Heat index,non native percent,3,0.158,186.698,-90.349,5.5,0.099,182.813,-87.407,0.025,m2_poly,"slope ~ poly(log(scale), 2)"
Microrelief,non native percent,3,0.158,130.297,-62.149,5.5,0.099,126.412,-59.206,0.025,m2_poly,"slope ~ poly(log(scale), 2)"
Mowing,non native percent,3,0.158,188.084,-91.042,5.5,0.099,184.199,-88.1,0.025,m2_poly,"slope ~ poly(log(scale), 2)"
Climate PC,non native percent,3,0.158,181.884,-87.942,5.5,0.099,177.999,-85,0.025,m2_poly,"slope ~ poly(log(scale), 2)"
Soil pH,non native percent,3,0.158,138.545,-66.272,5.5,0.099,134.66,-63.33,0.025,m2_poly,"slope ~ poly(log(scale), 2)"
Road density,non native percent,0.735,0.44,-28.252,17.126,0.336,0.739,-26.452,17.226,0.75,m1,slope ~ log(scale)
